station_name,months_observed,months_predicted_non_compliant,months_rule_non_compliant,average_risk_score,max_risk_score,average_predicted_non_compliance_probability,most_common_violation_reason,most_severe_risk_category,first_observed_month,last_observed_month,hotspot_status
"Chandrabhaga river at U/s of Pandharpur town, Village. Gursale,Taluka. Pandharpur, District. Solapur.",3,3,3.0,1.9833333333333334,3.91,1.0,BOD (7.6 > 3),Low Risk,Aug,Sep,Persistent Hotspot
Chandrabhaga river at chandur jahanpur thesil daryapur Dist- Amravati,3,3,3.0,0.7666666666666666,1.02,1.0,BOD (4.2 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Chikhali nallah meets Godavari river, Village. Chikhali, Taluka. Nashik, District. Nashik.",3,3,3.0,25.58666666666667,50.37,1.0,DO (3.0 < 5); BOD (8.8 > 3),High Risk,Aug,Sep,Persistent Hotspot
"Colour chem  Nalla, Village. Majiwada,Taluka. Thane,District. Thane.",3,3,3.0,54.25,74.2,1.0,DO (1.0 < 5); BOD (30.0 > 3),High Risk,Aug,Sep,Persistent Hotspot
"Dahanu Creek at Dahanu Fort, Village. Danugaon, Taluka. Dahanu, District. Thane.",3,3,3.0,8.896666666666667,15.76,1.0,DO (4.2 < 5); BOD (14.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Dandi Creek, Village. Dandi, Taluka. Palghar, District. Thane.",3,3,3.0,16.61,19.06,1.0,DO (4.0 < 5); BOD (16.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Darna river at Aswali ( Darna Dam),Village. Aswali,Taluka. Igatpuri,District. Nashik.",3,3,3.0,0.34,0.51,1.0,BOD (3.2 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Darna river at Bhagur pumping station near Pandhurli bridge, Village. Bhagur,Taluka. Nashik,District. Nashik.",3,2,2.0,1.2300000000000002,2.16,0.6666666666666666,BOD (4.8 > 3),Low Risk,Aug,Sep,Recurring Risk
"Darna river at Chehedi water works (pumping station), Village. Chehedi, Taluka. Nashik, District. Nashik.",3,3,3.0,1.8766666666666667,4.44,1.0,DO (4.7 < 5); BOD (5.4 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Darna river at MES site pumping station, Village. Bhagur, Taluka. Nashik, District. Nashik.",3,2,2.0,0.7933333333333333,1.53,0.6666666666666666,BOD (4.8 > 3),Low Risk,Aug,Sep,Recurring Risk
"Darna river at Sansari, Village. Sansari,Taluka. Nashik,District. Nashik.",3,3,3.0,2.2566666666666664,5.41,1.0,BOD (3.8 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Ghod river at Shirur, Village. Shirur,Taluka. Shirur,District. Pune.",3,3,3.0,1.4166666666666667,2.89,1.0,BOD (3.6 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Girna river at Jalgaon at intake of Girna pump huose, Village. Girna pump house area, Taluka. Jalgaon, District. Jalgaon.",3,2,2.0,1.385,1.92,0.6666666666666666,BOD (4.4 > 3); pH (8.7 not in 6.5-8.5),Low Risk,Aug,Sep,Recurring Risk
"Girna river at Malegaon road bridge, Village. Malegaon, Taluka. Malegaon, District. Nashik.",3,1,1.0,0.68,1.36,0.3333333333333333,BOD (4.6 > 3),Low Risk,Aug,Sep,Intermittent Risk
"Godavari river at D/s of Nashik near Amardham, Village. GadgebabaMaharaj Nagar, Taluka . Nashik, District. Nashik.",3,3,3.0,4.166666666666666,10.29,1.0,DO (4.1 < 5); BOD (6.2 > 3); pH (8.6 not in 6.5-8.5),Low Risk,Aug,Sep,Persistent Hotspot
"Godavari river at D/s of Paithan at Pathegaon bridge, Village. Pathegaon, Taluka. Paithan, District. Ch. Sambhaji Nagar.",3,2,3.0,0.23333333333333336,0.36,0.6666666666666666,BOD (3.2 > 3),Low Risk,Aug,Sep,Recurring Risk
"Godavari river at Dhalegaon, Village. Dhalegaon, Taluka. Pathari,  District. Parbhani.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Godavari river at Hanuman Ghat, Village. Nashik city, Taluka. Nashik, District. Nashik.",3,3,3.0,1.3833333333333335,3.13,1.0,DO (4.8 < 5); BOD (4.8 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Godavari river at Jaikwadi Dam, Village. Paithan, Taluka. Paithan, District.Ch. Sambhaji Nagar.",3,2,3.0,0.3466666666666667,0.51,0.6666666666666666,BOD (3.2 > 3),Low Risk,Aug,Sep,Recurring Risk
"Godavari river at Jalna Intake water pump house, Village. Shahabad, Taluka. Ambad, District. Jalna.",3,2,2.0,0.64,1.41,0.6666666666666666,BOD (3.8 > 3); pH (8.7 not in 6.5-8.5),Low Risk,Aug,Sep,Recurring Risk
"Godavari river at Kapila. Godavari confluence point,  Village. Tapovan, Taluka. Nashik, District. Nashik.",3,3,3.0,2.6333333333333333,6.37,1.0,DO (4.8 < 5); BOD (8.6 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Godavari river at Latur water intake near Pump house. Village. Dhamegaon, Taluka. Kalumb, District. Dharashiv",3,3,3.0,0.6233333333333334,1.02,1.0,BOD (3.2 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Godavari river at Nandur.Madhmeshwar Dam, Village. Nandur, Taluka. Niphad, District. Nashik.",3,2,2.0,1.6499999999999997,4.1,0.6666666666666666,BOD (4.4 > 3); pH (9.3 not in 6.5-8.5),Low Risk,Aug,Sep,Recurring Risk
"Godavari river at Raher, Village.Raher, Taluka. Nayagaon, District. Nanded.",3,3,3.0,0.7933333333333334,1.02,1.0,BOD (3.8 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Godavari river at Ramkund, Village. Panchavati, Taluka. Nashik, District. Nashik.",3,3,3.0,4.366666666666666,10.55,1.0,DO (4.0 < 5); BOD (6.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Godavari river at Saikheda village,  Village. Saikheda, Taluka. Niphad, District. Nashik.",3,3,3.0,2.66,5.7,1.0,BOD (3.2 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Godavari river at Tapovan,Village. Tapovan, Taluka. Nashik, District. Nashik.",3,3,3.0,0.9633333333333334,1.36,1.0,BOD (4.6 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Godavari river at U/s of Aurangabad Reservoir,Kaigaon Tokka near Kaigaon bridge,Village. Kaigaon,Taluka. Gangapur,District. Ch. Sambhaji Nagar.",3,3,3.0,0.63,1.38,1.0,BOD (3.4 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Godavari river at U/s of Gangapur Dam, Village. Gangapur,Taluka. Nashik, District. Nashik.",3,2,2.0,2.32,6.79,0.6666666666666666,DO (4.3 < 5); BOD (4.4 > 3),Low Risk,Aug,Sep,Recurring Risk
"Godavari river at U/s of Paithan at Paithan intake pump house, Village. Jayakwadi, Taluka. Paithan, District. Ch. Sambhaji Nagar.",3,3,3.0,0.5166666666666667,0.87,1.0,BOD (3.2 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Godavari river near Intake water pump house, Village. Vishnupuri, Taluka. Nanded, District. Nanded.",3,3,3.0,0.68,0.85,1.0,BOD (3.8 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Godavari river near Someshwar Temple, Village. Someshwar, Taluka. Nashik, District. Nashik.",3,2,3.0,1.2366666666666666,2.18,0.6666666666666666,pH (9.1 not in 6.5-8.5),Low Risk,Aug,Sep,Recurring Risk
"Gomai river D/s. of Shahada, Village. Shahada,Taluka. Dhule,District. Dhule.",3,2,2.0,6.895,12.94,0.6666666666666666,DO (4.0 < 5); BOD (8.8 > 3),Low Risk,Aug,Sep,Recurring Risk
"Gosekhurd Dam village - Gosekhurd, pauni, Dist- Bhandara",3,3,3.0,0.5666666666666667,0.85,1.0,BOD (3.6 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Haladi River, Dist-Kolhapur",1,0,0.0,0.0,0.0,0.0,None,Low Risk,Jul,Jul,Insufficient Monitoring
"Hiwara river at  D/S of Pachora, Village. Pachora,Taluka. Jalgaon,District. Jalgaon.",3,1,1.0,0.85,0.85,0.3333333333333333,BOD (4.0 > 3),Low Risk,Aug,Sep,Intermittent Risk
"Indrayani river at D/s of Alandigaon, Village. Alandigaon, Taluka. Haweli, District. Pune.",3,3,3.0,15.6,42.04,1.0,BOD (6.2 > 3),Moderate Risk,Aug,Sep,Persistent Hotspot
"Indrayani river at D/s of Moshi village. Village. Moshi,  Taluka. Haweli, District. Pune.",3,3,3.0,4.02,9.34,1.0,DO (4.3 < 5); BOD (7.4 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Indrayani river at U/s of Moshigaon,Village. Moshi, Taluka. Haweli, District. Pune.",3,3,3.0,1.7566666666666666,2.89,1.0,BOD (6.4 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Kalu river at Atale village, Village. Atale, Taluka. Kalyan, District. Thane.",3,2,2.0,0.34,0.68,0.6666666666666666,BOD (3.8 > 3),Low Risk,Aug,Sep,Recurring Risk
"Kan river at Sakri water works, Village. Sakri, Taluka. Dhule, District. Dhule.",3,3,3.0,0.9633333333333334,1.02,1.0,BOD (4.2 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Kanhan river at D/s of M/s Vidarbha Paper Mills,  Village. Sinora, Taluka. Parseoni, District. Nagpur.",3,2,2.0,1.0350000000000001,1.56,0.6666666666666666,BOD (4.4 > 3); pH (8.6 not in 6.5-8.5),Low Risk,Aug,Sep,Recurring Risk
"Kanhan river at D/s of Nagpur, Village. Agargaon, Taluka. Kuhi, District. Nagpur.",3,3,3.0,7.7,19.95,1.0,BOD (3.6 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Kanhan river at U/s of M/s Vidarbha Paper Mills, Village. Sinora, Taluka. Parseoni, District. Nagpur.",3,2,2.0,0.5650000000000001,0.79,0.6666666666666666,BOD (3.5 > 3); pH (8.6 not in 6.5-8.5),Low Risk,Aug,Sep,Recurring Risk
"Karambavane creek at Chiplun, Village. Karambavane, Taluka. Chiplun, District. Ratnagiri.",3,1,1.0,0.05666666666666667,0.17,0.3333333333333333,BOD (3.2 > 3),Low Risk,Aug,Sep,Intermittent Risk
"Kharekuran Murbe creek , Village. Kharekuran, Taluka. Palghar, District. Thane.",3,3,3.0,16.88,21.57,1.0,DO (3.9 < 5); BOD (18.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Kolar river before confluence with Kanhan river at Waregaon Bridge, Village. Waregaon, Taluka.Kamptee, District.Nagpur.",3,3,3.0,1.5033333333333332,2.13,1.0,BOD (4.8 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Koyna River at Karad, Village. Karad,Taluka. Karad, District. Satara.",3,3,3.0,1.2766666666666666,1.53,1.0,BOD (4.6 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Krishna River at krishna ghat, miraj Dist-Sangli",3,1,1.0,0.05666666666666667,0.17,0.3333333333333333,BOD (3.2 > 3),Low Risk,Aug,Sep,Intermittent Risk
"Krishna River at nagthane KT weir, nagthane, Tal-Walwa, Dist-Sangli",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Krishna River at new haripur bridge, Tal- Miraj, Dist-Sangli",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Krishna river at Dhom Dam, Village. Wai, Taluka.Mahabaleshwar, District.Satara.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Krishna river at Krishna bridge, ( Krishna river at NH.4 bridge ) Village. Karad, Taluka. Karad, District. Satara.",3,2,2.0,0.9066666666666667,1.36,0.6666666666666666,BOD (4.6 > 3),Low Risk,Aug,Sep,Recurring Risk
"Krishna river at Krishna. Venna Sangam Mahuli , Village. Mahuli,Taluka. Mahuli, District. Satara.",3,3,3.0,1.02,1.36,1.0,BOD (4.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Krishna river at Kshetra Mahuli, Village. Kshetra.Mahuli,Taluka. Mahuli, District. Satara.",3,3,3.0,1.39,2.04,1.0,BOD (4.2 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Krishna river at Kurundwad near Santaji Ghorpade Ghat , Village.Narshingwadi, Kurundwad, Taluka. Shirol, District. Kolhapur.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Krishna river at Maighat, Village. Gawali gally, Taluka. Miraj,  District. Sangli.",3,1,1.0,0.05666666666666667,0.17,0.3333333333333333,BOD (3.2 > 3),Low Risk,Aug,Sep,Intermittent Risk
"Krishna river at Rajapur Weir, Village. Rajapur, Taluka. Shirol, District. Kolhapur.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Krishna river at Wai, Village. Wai,Taluka. Wai,District. Satara.",3,3,3.0,1.8133333333333335,3.57,1.0,BOD (7.2 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Krishna river at Walwa, D/s of Islampur near Vithal Temple, Village. Walwa, Taluka. Walwa, District. Sangli.",3,1,1.0,0.05666666666666667,0.17,0.3333333333333333,BOD (3.2 > 3),Low Risk,Aug,Sep,Intermittent Risk
"Kundalika river , kolad, Dist- Raigad",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Kundalika river at Are Khurd (Saline zone), Village.Arekhurd,Taluka. Roha, District. Raigad.",3,1,1.0,0.05666666666666667,0.17,0.3333333333333333,BOD (3.2 > 3),Low Risk,Aug,Sep,Intermittent Risk
"Kundalika river at Dhatav at Jackwell , Village. Dhatav,Taluka. Roha, District. Raigad.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Kundalika river at Roha bridge,  Village.Roha, Taluka. Roha, District. Raigad.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Kundalika river near Salav bridge (Saline zone), Village.Salav, Taluka. Roha, District. Raigad.",3,3,3.0,3.0933333333333333,8.26,1.0,BOD (3.8 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Lonar surovar lake, near kamalja devi temple. Tal- lonar Dist- Buldhana",3,3,3.0,38.62,49.14,1.0,BOD (31.0 > 3); pH (9.7 not in 6.5-8.5),Moderate Risk,Aug,Sep,Persistent Hotspot
"Madvi sea water at Ratnagiri near Jodhale Maruti Temple,  Village. Madvigaon, Taluka. Ratnagiri, District. Ratnagiri.",3,2,2.0,3.686666666666666,8.51,0.6666666666666666,BOD (13.0 > 3),Low Risk,Aug,Sep,Recurring Risk
"Mahim creek at Mahim Bay, Village. Mahim, Taluka. Mumbai, District. Mumbai.",3,3,3.0,9.386666666666667,12.56,1.0,DO (4.6 < 5); BOD (14.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Manjra river at D/s of Latur, near Latur. Nanded bridge, Village. Bhatkheda, Taluka. Latur, District. Latur.",3,3,3.0,0.7366666666666667,1.02,1.0,BOD (3.6 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Mithi river near Road bridge, Village. Mahim, Taluka. Bandra, District. Mumbai.",3,3,3.0,57.38666666666666,80.0,1.0,DO (0.3 < 5); BOD (38.0 > 3),Severe Risk,Aug,Sep,Persistent Hotspot
"Mor river  near Padalashe, Village. Padalashe,Taluka. Jalgaon, District. Jalgaon.",3,1,1.0,0.68,0.68,0.3333333333333333,BOD (3.8 > 3),Low Risk,Aug,Sep,Intermittent Risk
Morna River D/s of Railway Bridge Akola ,3,3,3.0,12.856666666666667,26.79,1.0,DO (4.4 < 5); BOD (9.1 > 3),Moderate Risk,Aug,Sep,Persistent Hotspot
"Muchkundi river at Waked, Ratnagiri, near M/s Asahi India Glass Ltd., Village. Waked, Taluka. Lanja, District. Ratnagiri.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Mula - Mutha river at Mundhawa bridge,Village. Mundhawa,Taluka. Haweli,District. Pune.",3,3,3.0,7.633333333333333,15.29,1.0,DO (4.1 < 5); BOD (12.5 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Mula river at Aundh bridge, Village. Aundhgaon,Taluka. Haweli, District. Pune.",3,3,3.0,5.176666666666666,10.77,1.0,BOD (5.8 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Mula river at Harrison bridge near Mula.Pawana sangam, Village. Bopodi,Taluka. Haweli, District. Pune.",3,3,3.0,6.39,8.2,1.0,DO (4.4 < 5); BOD (7.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Mula.Mutha river at D/s of Theur, Village. Theur, Taluka. Haweli, District. Pune.",3,3,3.0,3.403333333333333,4.09,1.0,BOD (7.8 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Mutha river at Deccan bridge, Village. Deccan,Taluka. Pune, District. Pune.",3,3,3.0,23.606666666666666,44.48,1.0,DO (2.1 < 5); BOD (28.0 > 3),Moderate Risk,Aug,Sep,Persistent Hotspot
"Mutha river at Khadakvasla Dam, Village. Khadakvasla,Taluka. Haweli, District. Pune.",3,1,1.0,0.11333333333333334,0.34,0.3333333333333333,BOD (3.4 > 3),Low Risk,Aug,Sep,Intermittent Risk
"Mutha river at Sangam bridge near Ganapathyghat, Village . Shivaji Nagar,  Taluka. Pune, District. Pune.",3,3,3.0,17.3,41.23,1.0,DO (2.4 < 5); BOD (27.0 > 3),Moderate Risk,Aug,Sep,Persistent Hotspot
"Mutha river near Veer Savarkar Bhavan, Village. Pune  M.C, Taluka. Pune, District .Pune.",3,3,3.0,20.426666666666666,43.68,1.0,DO (2.2 < 5); BOD (28.0 > 3),Moderate Risk,Aug,Sep,Persistent Hotspot
"Nag river  near asoli road bridge, bhandara road, Dist- Nagpur",3,3,3.0,44.93666666666667,56.15,1.0,DO (0.3 < 5); BOD (24.8 > 3),High Risk,Aug,Sep,Persistent Hotspot
Nag river  near bhandewadi bridge Dist- Nagpur,3,3,3.0,47.59,62.79,1.0,DO (0.3 < 5); BOD (32.6 > 3),High Risk,Aug,Sep,Persistent Hotspot
"Nag river near ambazari lake, Dist- Nagpur",3,3,3.0,0.8233333333333334,1.36,1.0,BOD (4.6 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Nalla at D/s of Aklai Mandir, Village. Aklai, Taluka. Malshiras, District. Solapur.",3,3,3.0,2.2199999999999998,2.55,1.0,BOD (5.4 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Navapur sea, Village. Navapur, Taluka. Palghar, District. Thane.",3,3,3.0,14.46,19.06,1.0,DO (4.4 < 5); BOD (16.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Nira river at D/s of Jubilant Organosis,  Village. Nimbut, Taluka. Baramati, District. Pune.",3,3,3.0,2.606666666666667,3.74,1.0,BOD (5.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Nira river at Sangavi, Village. Sangavi, Taluka. Phaltan, District. Satara.",3,3,3.0,2.953333333333333,6.14,1.0,BOD (4.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Nira river at Sarola bridge, Village. Sarola, Taluka.Bhor, District. Pune.",3,3,3.0,2.8633333333333333,6.72,1.0,DO (4.5 < 5); BOD (6.2 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Nira river at Shindewadi,  Village. Shirval, Taluka. Khandala, District. Satara.",3,3,3.0,1.9000000000000001,2.55,1.0,BOD (5.2 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Nira river at U/s of Jubilant Organosis, Village. Nira (Dattaghat),Taluka. Baramati, District. Pune.",3,3,3.0,1.53,2.55,1.0,BOD (3.8 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Panchaganga River, Terwad bandhara, Dist- Kolhapur",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Panchaganga river at D/s of Kolhapur town at Gandhi nagar near NH.4 bridge and MIDC, Village. Uchegaon, Taluka. Kolhapur, District. Kolhapur.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Panchaganga river at Ichalkaranji near MIDC  intake well. Village. Shiradhwad  (Ichalkaranji ghat), Taluka.Hatkanangale, District. Kolhapur.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Panchaganga river at Shirol near Shirol Intake well, Village. Shirol, Taluka. Shirol, District. Kolhapur.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Panchaganga river at U/s of Kolhapur town near Balinga Pumping station, Village.Balinga, Taluka. Karvir, District. Kolhapur.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Panvel creek at Kopra bridge, Village. Kopra,Taluka. Panvel, District. Raigad.",3,3,3.0,0.6233333333333334,1.36,1.0,BOD (3.4 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Panzara river, Near Panzarakan SSK Ltd, Village. Panzara,Taluka. Dhule, District. Dhule.",3,3,3.0,0.8500000000000001,1.02,1.0,BOD (4.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Patalganga river at D/s of Kharpada bridge , Village. Kharpada, Taluka. Khalapur, District. Raigad.",3,1,1.0,0.2833333333333333,0.85,0.3333333333333333,BOD (4.0 > 3),Low Risk,Aug,Sep,Intermittent Risk
"Patalganga river at Gagangiri Maharaj Temple, Village. Khopoli, Taluka. Khalapur, District. Raigad.",3,1,1.0,0.05666666666666667,0.17,0.3333333333333333,BOD (3.2 > 3),Low Risk,Aug,Sep,Intermittent Risk
"Patalganga river at Khalapur pumping station, Village. Khalapur, Taluka. Khalapur, District. Raigad.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Patalganga river at Savroli bridge, Village. Savroli,Taluka. Khalapur,District. Raigad.",3,2,2.0,0.34,0.85,0.6666666666666666,BOD (3.2 > 3),Low Risk,Aug,Sep,Recurring Risk
"Patalganga river at Shilphata bridge, Village.Khopoli,Taluka. Khalapur, District. Raigad.",3,2,2.0,0.2833333333333334,0.68,0.6666666666666666,BOD (3.8 > 3),Low Risk,Aug,Sep,Recurring Risk
"Patalganga river at Vyal Pump house,  Village. Vyal,  Taluka. Khalapur, District. Raigad.",3,1,1.0,0.2833333333333333,0.85,0.3333333333333333,BOD (4.0 > 3),Low Risk,Aug,Sep,Intermittent Risk
