station_name,latest_timestamp,ph,dissolved_oxygen,bod,live_compliance_scope,live_strict_compliance_label,live_ml_predicted_compliance_label,ml_prediction_confidence_note
"UT64_Fafamau, Lord Curzon Bridge, Allahabad",2026-05-12 08:30:00+00:00,8.36,7.57,2.91,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
"UT65_Balu ghat bridge, Chunar",2026-05-12 08:30:00+00:00,8.4,8.26,3.36,Full DO/BOD/pH compliance,Non-Compliant,Non-Compliant,"High confidence: DO, BOD, and pH are available."
"UT66_Ghazipur, Abdul Hameed Setu on River Ganga",2026-05-12 08:30:00+00:00,8.22,7.44,3.11,Full DO/BOD/pH compliance,Non-Compliant,Non-Compliant,"High confidence: DO, BOD, and pH are available."
"UT67_Kheerveer Bridge,Kishundaspur Road,Pratapgarh",2026-05-12 08:30:00+00:00,8.42,7.66,4.65,Full DO/BOD/pH compliance,Non-Compliant,Non-Compliant,"High confidence: DO, BOD, and pH are available."
"UT68_Korra Kanak, Asothar, Fatehpur.",2026-05-12 08:30:00+00:00,8.54,6.43,5.13,Full DO/BOD/pH compliance,Non-Compliant,Non-Compliant,"High confidence: DO, BOD, and pH are available."
"UT69_Marhapur, Auraiya",2026-05-12 08:30:00+00:00,8.22,8.01,2.95,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
"UT70_Mawai Dham, Amauli, Fatehpur",2026-05-12 08:30:00+00:00,8.06,8.57,3.28,Full DO/BOD/pH compliance,Non-Compliant,Non-Compliant,"High confidence: DO, BOD, and pH are available."
UT71_Beladandi Bridge on River Ramganga,2026-05-12 08:30:00+00:00,7.2,7.6,6.12,Full DO/BOD/pH compliance,Non-Compliant,Non-Compliant,"High confidence: DO, BOD, and pH are available."
"BH73_Bridge on Ghagra near Manjhi, Chappra",2026-05-12 08:30:00+00:00,8.23,8.26,2.77,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
"BH74_Road bridge on River Ganga, D/s of Buxar",2026-05-12 08:30:00+00:00,8.51,8.19,2.91,Full DO/BOD/pH compliance,Non-Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
"BH76_Road bridge at Fathua on Punpun, Patna",2026-05-12 08:30:00+00:00,7.28,0.2,11.95,Full DO/BOD/pH compliance,Non-Compliant,Non-Compliant,"High confidence: DO, BOD, and pH are available."
"BH77_New Bridge, U/s of Patna city, Khurji",2026-05-12 08:30:00+00:00,8.73,4.51,2.61,Full DO/BOD/pH compliance,Non-Compliant,Non-Compliant,"High confidence: DO, BOD, and pH are available."
"BH78_Road bridge on Burhi Gandak, Khagaria",2026-05-12 08:30:00+00:00,7.26,9.41,4.22,Full DO/BOD/pH compliance,Non-Compliant,Non-Compliant,"High confidence: DO, BOD, and pH are available."
"BH79_Road bridge on Kosi, Kursela",2026-05-12 08:30:00+00:00,7.8,7.92,2.74,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
"BH80_Road bridge on Son, Arrah",2026-05-12 08:30:00+00:00,8.19,6.56,2.39,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
"BH81_Road Bridge on Gandak, Hajipur",2026-05-12 08:30:00+00:00,8.09,7.73,1.27,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
"JH82_Birsa Pool, Damodar River Bank,Pathardih",2026-05-12 08:30:00+00:00,7.88,8.84,1.38,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
JH83_Sahebganj,2026-05-12 08:30:00+00:00,8.19,7.73,2.6,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
WB85_Raghunathpur Thermal power plant Intake well.,2026-05-12 08:30:00+00:00,8.78,8.17,2.15,Full DO/BOD/pH compliance,Non-Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
"WB86_Farakka Barrage, Road Bridge",2026-05-12 08:30:00+00:00,8.27,7.31,1.79,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
WB87_Nabadwip Bathing Ghat,2026-05-12 08:30:00+00:00,8.22,7.34,2.35,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
"WB88_Chinsura , Near Hooghly, Road Bridge",2026-05-12 08:30:00+00:00,8.37,7.74,2.34,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
"UT62_River Kosi, D/s of Kashipur, Darhiyal",2026-05-12 08:30:00+00:00,7.82,6.44,0.5,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
"BH72_River Ganga at Chausa, U/s of Buxar ",2026-05-12 08:30:00+00:00,8.44,9.77,2.47,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
JH84_Rajmahal at Malgodam,2026-05-12 08:30:00+00:00,8.26,7.54,2.24,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
"UK52_D/s of Srinagar, Kirtinagar",2026-05-12 08:30:00+00:00,8.21,9.65,0.5,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
"BH75_D/s of Bhagalpur, Road Bridge on River Ganga",2026-05-12 08:30:00+00:00,7.88,8.07,2.16,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
