station_name,river_name,timestamp,live_ml_predicted_compliance_label,live_ml_non_compliance_probability,lime_prediction_class,lime_top_positive_features,lime_top_negative_features,lime_explanation_text,lime_status,lime_error
"UT60_Upstream of Gokul Barrage,D/s of Mathura city",,2026-05-12 08:30:00+00:00,Non-Compliant,1.0,Non-Compliant,dissolved_oxygen <= 4.90 (0.217) | 4.40 < bod <= 7.20 (0.213) | nitrate > 1.69 (0.019) | 94.00 < total_coliform <= 280.00 (0.017),1.02 < turbidity <= 2.20 (-0.011),"Values like dissolved_oxygen <= 4.90, 4.40 < bod <= 7.20, nitrate > 1.69, 94.00 < total_coliform <= 280.00 pushed the reading towards Non-Compliant. Values like 1.02 < turbidity <= 2.20 reduced the risk.",Success,
"UT61_Near Galhita on River Hindon,Barnawa,Baghpat",,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,153.75 < total_dissolved_solids <= 256.00 (0.014),bod <= 3.20 (-0.595) | dissolved_oxygen > 6.70 (-0.076) | cod <= 12.00 (-0.011) | fecal_streptococci <= 1.80 (-0.010),"Values like 153.75 < total_dissolved_solids <= 256.00 pushed the reading towards Non-Compliant. Values like bod <= 3.20, dissolved_oxygen > 6.70, cod <= 12.00, fecal_streptococci <= 1.80 reduced the risk.",Success,
"UT63_River Yamuna, U/s to Sangam at Allahabad",,2026-05-12 08:30:00+00:00,Non-Compliant,1.0,Non-Compliant,4.40 < bod <= 7.20 (0.217),dissolved_oxygen > 6.70 (-0.062) | 25.00 < temperature <= 26.00 (-0.015) | 16.00 < cod <= 28.00 (-0.012) | conductivity > 703.50 (-0.009),"Values like 4.40 < bod <= 7.20 pushed the reading towards Non-Compliant. Values like dissolved_oxygen > 6.70, 25.00 < temperature <= 26.00, 16.00 < cod <= 28.00, conductivity > 703.50 reduced the risk.",Success,
"UT64_Fafamau, Lord Curzon Bridge, Allahabad",,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,153.75 < total_dissolved_solids <= 256.00 (0.018),bod <= 3.20 (-0.605) | dissolved_oxygen > 6.70 (-0.080) | ph > 8.20 (-0.015) | nitrate > 1.69 (-0.013),"Values like 153.75 < total_dissolved_solids <= 256.00 pushed the reading towards Non-Compliant. Values like bod <= 3.20, dissolved_oxygen > 6.70, ph > 8.20, nitrate > 1.69 reduced the risk.",Success,
"UT65_Balu ghat bridge, Chunar",,2026-05-12 08:30:00+00:00,Non-Compliant,1.0,Non-Compliant,3.20 < bod <= 4.40 (0.227) | 7.80 < fecal_coliform <= 24.00 (0.013) | 94.00 < total_coliform <= 280.00 (0.009),dissolved_oxygen > 6.70 (-0.059) | 25.00 < temperature <= 26.00 (-0.036),"Values like 3.20 < bod <= 4.40, 7.80 < fecal_coliform <= 24.00, 94.00 < total_coliform <= 280.00 pushed the reading towards Non-Compliant. Values like dissolved_oxygen > 6.70, 25.00 < temperature <= 26.00 reduced the risk.",Success,
"UT66_Ghazipur, Abdul Hameed Setu on River Ganga",,2026-05-12 08:30:00+00:00,Non-Compliant,1.0,Non-Compliant,nitrate > 1.69 (0.011) | 12.00 < cod <= 16.00 (0.010),bod <= 3.20 (-0.609) | dissolved_oxygen > 6.70 (-0.077) | 7.80 < fecal_coliform <= 24.00 (-0.016),"Values like nitrate > 1.69, 12.00 < cod <= 16.00 pushed the reading towards Non-Compliant. Values like bod <= 3.20, dissolved_oxygen > 6.70, 7.80 < fecal_coliform <= 24.00 reduced the risk.",Success,
"UT67_Kheerveer Bridge,Kishundaspur Road,Pratapgarh",,2026-05-12 08:30:00+00:00,Non-Compliant,1.0,Non-Compliant,4.40 < bod <= 7.20 (0.209) | 94.00 < total_coliform <= 280.00 (0.027) | 7.80 < fecal_coliform <= 24.00 (0.022),dissolved_oxygen > 6.70 (-0.067) | nitrate > 1.69 (-0.021),"Values like 4.40 < bod <= 7.20, 94.00 < total_coliform <= 280.00, 7.80 < fecal_coliform <= 24.00 pushed the reading towards Non-Compliant. Values like dissolved_oxygen > 6.70, nitrate > 1.69 reduced the risk.",Success,
"UT68_Korra Kanak, Asothar, Fatehpur.",,2026-05-12 08:30:00+00:00,Non-Compliant,1.0,Non-Compliant,4.40 < bod <= 7.20 (0.220) | 7.80 < fecal_coliform <= 24.00 (0.025) | 153.75 < total_dissolved_solids <= 256.00 (0.014),5.90 < dissolved_oxygen <= 6.70 (-0.067) | nitrate > 1.69 (-0.039),"Values like 4.40 < bod <= 7.20, 7.80 < fecal_coliform <= 24.00, 153.75 < total_dissolved_solids <= 256.00 pushed the reading towards Non-Compliant. Values like 5.90 < dissolved_oxygen <= 6.70, nitrate > 1.69 reduced the risk.",Success,
"UT69_Marhapur, Auraiya",,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,fecal_streptococci <= 1.80 (0.022),bod <= 3.20 (-0.598) | dissolved_oxygen > 6.70 (-0.073) | conductivity > 703.50 (-0.018) | ph > 8.20 (-0.013),"Values like fecal_streptococci <= 1.80 pushed the reading towards Non-Compliant. Values like bod <= 3.20, dissolved_oxygen > 6.70, conductivity > 703.50, ph > 8.20 reduced the risk.",Success,
"UT70_Mawai Dham, Amauli, Fatehpur",,2026-05-12 08:30:00+00:00,Non-Compliant,1.0,Non-Compliant,3.20 < bod <= 4.40 (0.232) | nitrate > 1.69 (0.007),dissolved_oxygen > 6.70 (-0.066) | 7.80 < fecal_coliform <= 24.00 (-0.008) | 153.75 < total_dissolved_solids <= 256.00 (-0.008),"Values like 3.20 < bod <= 4.40, nitrate > 1.69 pushed the reading towards Non-Compliant. Values like dissolved_oxygen > 6.70, 7.80 < fecal_coliform <= 24.00, 153.75 < total_dissolved_solids <= 256.00 reduced the risk.",Success,
UT71_Beladandi Bridge on River Ramganga,,2026-05-12 08:30:00+00:00,Non-Compliant,1.0,Non-Compliant,4.40 < bod <= 7.20 (0.211) | fecal_streptococci <= 1.80 (0.017),dissolved_oxygen > 6.70 (-0.052) | 7.80 < fecal_coliform <= 24.00 (-0.013) | 94.00 < total_coliform <= 280.00 (-0.009),"Values like 4.40 < bod <= 7.20, fecal_streptococci <= 1.80 pushed the reading towards Non-Compliant. Values like dissolved_oxygen > 6.70, 7.80 < fecal_coliform <= 24.00, 94.00 < total_coliform <= 280.00 reduced the risk.",Success,
"BH73_Bridge on Ghagra near Manjhi, Chappra",,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,fecal_streptococci <= 1.80 (0.018) | 153.75 < total_dissolved_solids <= 256.00 (0.015) | cod <= 12.00 (0.012),bod <= 3.20 (-0.619) | dissolved_oxygen > 6.70 (-0.079),"Values like fecal_streptococci <= 1.80, 153.75 < total_dissolved_solids <= 256.00, cod <= 12.00 pushed the reading towards Non-Compliant. Values like bod <= 3.20, dissolved_oxygen > 6.70 reduced the risk.",Success,
"BH74_Road bridge on River Ganga, D/s of Buxar",,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,7.80 < fecal_coliform <= 24.00 (0.009),bod <= 3.20 (-0.590) | dissolved_oxygen > 6.70 (-0.068) | conductivity > 703.50 (-0.008) | 25.00 < temperature <= 26.00 (-0.007),"Values like 7.80 < fecal_coliform <= 24.00 pushed the reading towards Non-Compliant. Values like bod <= 3.20, dissolved_oxygen > 6.70, conductivity > 703.50, 25.00 < temperature <= 26.00 reduced the risk.",Success,
"BH76_Road bridge at Fathua on Punpun, Patna",,2026-05-12 08:30:00+00:00,Non-Compliant,1.0,Non-Compliant,dissolved_oxygen <= 4.90 (0.221) | bod > 7.20 (0.219),fecal_streptococci <= 1.80 (-0.042) | 94.00 < total_coliform <= 280.00 (-0.022) | 7.80 < fecal_coliform <= 24.00 (-0.018),"Values like dissolved_oxygen <= 4.90, bod > 7.20 pushed the reading towards Non-Compliant. Values like fecal_streptococci <= 1.80, 94.00 < total_coliform <= 280.00, 7.80 < fecal_coliform <= 24.00 reduced the risk.",Success,
"BH77_New Bridge, U/s of Patna city, Khurji",,2026-05-12 08:30:00+00:00,Non-Compliant,1.0,Non-Compliant,dissolved_oxygen <= 4.90 (0.232) | 94.00 < total_coliform <= 280.00 (0.011),bod <= 3.20 (-0.601) | 153.75 < total_dissolved_solids <= 256.00 (-0.014) | 25.00 < temperature <= 26.00 (-0.013),"Values like dissolved_oxygen <= 4.90, 94.00 < total_coliform <= 280.00 pushed the reading towards Non-Compliant. Values like bod <= 3.20, 153.75 < total_dissolved_solids <= 256.00, 25.00 < temperature <= 26.00 reduced the risk.",Success,
"BH78_Road bridge on Burhi Gandak, Khagaria",,2026-05-12 08:30:00+00:00,Non-Compliant,1.0,Non-Compliant,3.20 < bod <= 4.40 (0.220) | ph <= 7.60 (0.012),dissolved_oxygen > 6.70 (-0.075) | 345.00 < conductivity <= 703.50 (-0.026) | nitrate <= 0.60 (-0.015),"Values like 3.20 < bod <= 4.40, ph <= 7.60 pushed the reading towards Non-Compliant. Values like dissolved_oxygen > 6.70, 345.00 < conductivity <= 703.50, nitrate <= 0.60 reduced the risk.",Success,
"BH79_Road bridge on Kosi, Kursela",,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,94.00 < total_coliform <= 280.00 (0.016) | 7.60 < ph <= 7.90 (0.016),bod <= 3.20 (-0.609) | dissolved_oxygen > 6.70 (-0.079) | 1.02 < turbidity <= 2.20 (-0.011),"Values like 94.00 < total_coliform <= 280.00, 7.60 < ph <= 7.90 pushed the reading towards Non-Compliant. Values like bod <= 3.20, dissolved_oxygen > 6.70, 1.02 < turbidity <= 2.20 reduced the risk.",Success,
"BH80_Road bridge on Son, Arrah",,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,153.75 < total_dissolved_solids <= 256.00 (0.012) | 190.50 < conductivity <= 345.00 (0.007),bod <= 3.20 (-0.610) | 5.90 < dissolved_oxygen <= 6.70 (-0.092) | nitrate <= 0.60 (-0.008),"Values like 153.75 < total_dissolved_solids <= 256.00, 190.50 < conductivity <= 345.00 pushed the reading towards Non-Compliant. Values like bod <= 3.20, 5.90 < dissolved_oxygen <= 6.70, nitrate <= 0.60 reduced the risk.",Success,
"BH81_Road Bridge on Gandak, Hajipur",,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,7.90 < ph <= 8.20 (0.009) | nitrate <= 0.60 (0.008),bod <= 3.20 (-0.611) | dissolved_oxygen > 6.70 (-0.074) | 190.50 < conductivity <= 345.00 (-0.014),"Values like 7.90 < ph <= 8.20, nitrate <= 0.60 pushed the reading towards Non-Compliant. Values like bod <= 3.20, dissolved_oxygen > 6.70, 190.50 < conductivity <= 345.00 reduced the risk.",Success,
"JH82_Birsa Pool, Damodar River Bank,Pathardih",,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,345.00 < conductivity <= 703.50 (0.010),bod <= 3.20 (-0.633) | dissolved_oxygen > 6.70 (-0.079) | 1.02 < turbidity <= 2.20 (-0.010) | 7.60 < ph <= 7.90 (-0.010),"Values like 345.00 < conductivity <= 703.50 pushed the reading towards Non-Compliant. Values like bod <= 3.20, dissolved_oxygen > 6.70, 1.02 < turbidity <= 2.20, 7.60 < ph <= 7.90 reduced the risk.",Success,
JH83_Sahebganj,,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,nitrate <= 0.60 (0.022),bod <= 3.20 (-0.610) | dissolved_oxygen > 6.70 (-0.082) | 1.02 < turbidity <= 2.20 (-0.015) | 94.00 < total_coliform <= 280.00 (-0.014),"Values like nitrate <= 0.60 pushed the reading towards Non-Compliant. Values like bod <= 3.20, dissolved_oxygen > 6.70, 1.02 < turbidity <= 2.20, 94.00 < total_coliform <= 280.00 reduced the risk.",Success,
WB85_Raghunathpur Thermal power plant Intake well.,,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,94.00 < total_coliform <= 280.00 (0.012) | 25.00 < temperature <= 26.00 (0.011),bod <= 3.20 (-0.598) | dissolved_oxygen > 6.70 (-0.060) | ph > 8.20 (-0.010),"Values like 94.00 < total_coliform <= 280.00, 25.00 < temperature <= 26.00 pushed the reading towards Non-Compliant. Values like bod <= 3.20, dissolved_oxygen > 6.70, ph > 8.20 reduced the risk.",Success,
"WB86_Farakka Barrage, Road Bridge",,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,None,bod <= 3.20 (-0.604) | dissolved_oxygen > 6.70 (-0.081) | 1.02 < turbidity <= 2.20 (-0.011) | ph > 8.20 (-0.010) | 94.00 < total_coliform <= 280.00 (-0.008),"Values like bod <= 3.20, dissolved_oxygen > 6.70, 1.02 < turbidity <= 2.20, ph > 8.20, 94.00 < total_coliform <= 280.00 reduced the risk.",Success,
WB87_Nabadwip Bathing Ghat,,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,25.00 < temperature <= 26.00 (0.020),bod <= 3.20 (-0.609) | dissolved_oxygen > 6.70 (-0.088) | fecal_streptococci <= 1.80 (-0.018) | 7.80 < fecal_coliform <= 24.00 (-0.009),"Values like 25.00 < temperature <= 26.00 pushed the reading towards Non-Compliant. Values like bod <= 3.20, dissolved_oxygen > 6.70, fecal_streptococci <= 1.80, 7.80 < fecal_coliform <= 24.00 reduced the risk.",Success,
"WB88_Chinsura , Near Hooghly, Road Bridge",,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,7.80 < fecal_coliform <= 24.00 (0.022),bod <= 3.20 (-0.595) | dissolved_oxygen > 6.70 (-0.085) | 25.00 < temperature <= 26.00 (-0.018) | 345.00 < conductivity <= 703.50 (-0.012),"Values like 7.80 < fecal_coliform <= 24.00 pushed the reading towards Non-Compliant. Values like bod <= 3.20, dissolved_oxygen > 6.70, 25.00 < temperature <= 26.00, 345.00 < conductivity <= 703.50 reduced the risk.",Success,
"UT62_River Kosi, D/s of Kashipur, Darhiyal",,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,7.60 < ph <= 7.90 (0.018),bod <= 3.20 (-0.624) | 5.90 < dissolved_oxygen <= 6.70 (-0.088) | 7.80 < fecal_coliform <= 24.00 (-0.013) | cod <= 12.00 (-0.009),"Values like 7.60 < ph <= 7.90 pushed the reading towards Non-Compliant. Values like bod <= 3.20, 5.90 < dissolved_oxygen <= 6.70, 7.80 < fecal_coliform <= 24.00, cod <= 12.00 reduced the risk.",Success,
"BH72_River Ganga at Chausa, U/s of Buxar ",,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,7.80 < fecal_coliform <= 24.00 (0.014) | cod <= 12.00 (0.008),bod <= 3.20 (-0.612) | dissolved_oxygen > 6.70 (-0.094) | nitrate <= 0.60 (-0.009),"Values like 7.80 < fecal_coliform <= 24.00, cod <= 12.00 pushed the reading towards Non-Compliant. Values like bod <= 3.20, dissolved_oxygen > 6.70, nitrate <= 0.60 reduced the risk.",Success,
JH84_Rajmahal at Malgodam,,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,1.02 < turbidity <= 2.20 (0.005),bod <= 3.20 (-0.589) | dissolved_oxygen > 6.70 (-0.080) | 345.00 < conductivity <= 703.50 (-0.014) | cod <= 12.00 (-0.008),"Values like 1.02 < turbidity <= 2.20 pushed the reading towards Non-Compliant. Values like bod <= 3.20, dissolved_oxygen > 6.70, 345.00 < conductivity <= 703.50, cod <= 12.00 reduced the risk.",Success,
"UK52_D/s of Srinagar, Kirtinagar",,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,nitrate <= 0.60 (0.019) | fecal_streptococci <= 1.80 (0.017),bod <= 3.20 (-0.625) | dissolved_oxygen > 6.70 (-0.074) | cod <= 12.00 (-0.013),"Values like nitrate <= 0.60, fecal_streptococci <= 1.80 pushed the reading towards Non-Compliant. Values like bod <= 3.20, dissolved_oxygen > 6.70, cod <= 12.00 reduced the risk.",Success,
"BH75_D/s of Bhagalpur, Road Bridge on River Ganga",,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,None,bod <= 3.20 (-0.622) | dissolved_oxygen > 6.70 (-0.089) | fecal_streptococci <= 1.80 (-0.021) | 1.02 < turbidity <= 2.20 (-0.015) | 7.60 < ph <= 7.90 (-0.013),"Values like bod <= 3.20, dissolved_oxygen > 6.70, fecal_streptococci <= 1.80, 1.02 < turbidity <= 2.20, 7.60 < ph <= 7.90 reduced the risk.",Success,
