station_id,station_no,station_name,state,latitude,longitude,site_no,latest_timestamp,bod,cl,cod,conductivity,depth,dissolved_oxygen,nitrate,ph,s,toc,wt,wtb,temperature,fecal_coliform,total_coliform,fecal_streptococci,turbidity,total_dissolved_solids,season,station_position_tag,pollution_context_tag,river_name,available_live_parameters,missing_model_features,core_parameter_count,available_core_parameters,missing_core_parameters,live_data_confidence
11799,UT67,"UT67_Kheerveer Bridge,Kishundaspur Road,Pratapgarh",Uttar Pradesh,25.920256,82.027409,DSP_SWAN,2026-05-12 08:30:00+00:00,4.65,65.12,19.78,654.65,2.26,7.66,3.13,8.42,82.52,11.63,32.19,40.37,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11800,UT68,"UT68_Korra Kanak, Asothar, Fatehpur.",Uttar Pradesh,25.78,80.5778,DSP_SWAN,2026-05-12 08:30:00+00:00,5.13,104.4,22.77,1137.1,1.12,6.43,3.9,8.54,100.62,9.74,29.08,131.01,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11801,UT69,"UT69_Marhapur, Auraiya",Uttar Pradesh,26.40877,79.4914,DSP_SWAN,2026-05-12 08:30:00+00:00,2.95,99.97,15.7,1058.8,1.0,8.01,3.62,8.22,100.62,7.48,28.95,37.32,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11802,UT70,"UT70_Mawai Dham, Amauli, Fatehpur",Uttar Pradesh,25.91217,80.28931,DSP_SWAN,2026-05-12 08:30:00+00:00,3.28,96.5,16.53,997.4,0.73,8.57,5.2,8.06,101.12,8.41,28.22,28.82,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11803,UT71,UT71_Beladandi Bridge on River Ramganga,Uttar Pradesh,28.029453,79.494042,DSP_SWAN,2026-05-12 08:30:00+00:00,6.12,32.96,24.48,367.85,0.98,7.6,5.71,7.2,171.08,12.24,30.56,1298.09,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11804,BH73,"BH73_Bridge on Ghagra near Manjhi, Chappra",Bihar,25.8232,84.5858,DSP_SWAN,2026-05-12 08:30:00+00:00,2.77,14.27,11.53,363.3,1.35,8.26,0.3,8.23,57.12,5.3,28.56,14.42,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11805,BH74,"BH74_Road bridge on River Ganga, D/s of Buxar",Bihar,25.5918,83.9861,DSP_SWAN,2026-05-12 08:30:00+00:00,2.91,53.63,13.11,707.93,0.99,8.19,0.3,8.51,63.26,5.83,29.86,120.36,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11806,BH76,"BH76_Road bridge at Fathua on Punpun, Patna",Bihar,25.51046,85.30732,DSP_SWAN,2026-05-12 08:30:00+00:00,11.95,5.0,41.84,879.3,1.18,0.2,0.3,7.28,43.08,20.92,30.04,30.51,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11807,BH77,"BH77_New Bridge, U/s of Patna city, Khurji",Bihar,25.6533,85.0952,DSP_SWAN,2026-05-12 08:30:00+00:00,2.61,52.53,11.74,465.53,0.77,4.51,0.3,8.73,51.25,5.22,29.76,38.69,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11808,BH78,"BH78_Road bridge on Burhi Gandak, Khagaria",Bihar,25.501,86.4812,DSP_SWAN,2026-05-12 08:30:00+00:00,4.22,63.55,17.95,580.79,0.79,9.41,0.3,7.26,38.29,10.56,30.68,28.46,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11809,BH79,"BH79_Road bridge on Kosi, Kursela",Bihar,25.4238,87.2336,DSP_SWAN,2026-05-12 08:30:00+00:00,2.74,5.0,12.56,158.4,0.83,7.92,0.3,7.8,35.92,6.26,29.58,149.1,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11810,BH80,"BH80_Road bridge on Son, Arrah",Bihar,25.5672,84.7961,DSP_SWAN,2026-05-12 08:30:00+00:00,2.39,12.94,11.45,204.7,0.64,6.56,0.3,8.19,55.49,4.57,30.91,38.69,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11811,BH81,"BH81_Road Bridge on Gandak, Hajipur",Bihar,25.6997,85.1937,DSP_SWAN,2026-05-12 08:30:00+00:00,1.27,7.26,6.98,255.45,0.89,7.73,0.3,8.09,38.97,3.49,29.92,30.14,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11812,JH82,"JH82_Birsa Pool, Damodar River Bank,Pathardih",Jharkhand,23.667,86.411,DSP_SWAN,2026-05-12 08:30:00+00:00,1.38,5.0,7.64,529.5,0.49,8.84,0.3,7.88,133.3,3.81,32.83,9.25,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11813,JH83,JH83_Sahebganj,Jharkhand,25.2489,87.6417,DSP_SWAN,2026-05-12 08:30:00+00:00,2.6,56.5,11.24,536.12,0.68,7.73,0.3,8.19,36.58,5.2,28.38,14.24,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11814,WB85,WB85_Raghunathpur Thermal power plant Intake well.,West Bengal,23.6771,86.7425,DSP_SWAN,2026-05-12 08:30:00+00:00,2.15,46.34,9.2,486.3,2.42,8.17,0.3,8.78,132.2,4.3,29.74,2.77,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11815,WB86,"WB86_Farakka Barrage, Road Bridge",West Bengal,24.801,87.922,DSP_SWAN,2026-05-12 08:30:00+00:00,1.79,34.58,7.82,332.31,2.11,7.31,0.3,8.27,24.15,3.58,29.67,12.45,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11816,WB87,WB87_Nabadwip Bathing Ghat,West Bengal,23.396,88.3626,DSP_SWAN,2026-05-12 08:30:00+00:00,2.35,48.42,9.87,374.8,0.95,7.34,0.3,8.22,9.55,4.38,28.31,25.8,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11817,WB88,"WB88_Chinsura , Near Hooghly, Road Bridge",West Bengal,22.9068,88.4039,DSP_SWAN,2026-05-12 08:30:00+00:00,2.34,45.26,9.72,423.5,3.98,7.74,0.3,8.37,16.65,4.48,29.22,25.53,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11818,UT62,"UT62_River Kosi, D/s of Kashipur, Darhiyal",Uttar Pradesh,28.90421,79.011582,DSP_SWAN,2026-05-12 08:30:00+00:00,0.5,48.43,5.0,537.71,0.79,6.44,3.33,7.82,194.17,1.0,30.68,50.52,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11819,BH72,"BH72_River Ganga at Chausa, U/s of Buxar ",Bihar,25.5193,83.9007,DSP_SWAN,2026-05-12 08:30:00+00:00,2.47,55.78,9.75,605.6,0.9,9.77,0.3,8.44,61.36,4.44,28.67,15.98,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11820,JH84,JH84_Rajmahal at Malgodam,Jharkhand,25.0546,87.8381,DSP_SWAN,2026-05-12 08:30:00+00:00,2.24,,10.52,373.3,,7.54,0.3,8.26,,4.48,30.27,17.37,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11821,UK52,"UK52_D/s of Srinagar, Kirtinagar",Uttarakhand,30.214,78.7464,DSP_SWAN,2026-05-12 08:30:00+00:00,0.5,5.0,5.0,195.95,0.58,9.65,0.3,8.21,640.59,1.0,23.62,11.8,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11822,BH75,"BH75_D/s of Bhagalpur, Road Bridge on River Ganga",Bihar,25.30783,87.016618,DSP_SWAN,2026-05-12 08:30:00+00:00,2.16,52.67,9.74,438.45,0.98,8.07,0.3,7.88,38.43,4.33,29.87,32.57,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
