stn_code,sampling_date,month,sampling_time,stn_name,type_water_body,name_of_water_body,river_basin,district,state_name,mon_agency,frequency,major_polluting_sources,use_based_class,visibility_effluent_discharge,weather,approx_depth,human_activities,floating_matter,color,odor,flow,temperature,dissolved_o2,ph,conductivity,bod,nitrate_n,nitrite_n,fecal_coliform,total_coliform,fecal_streptococci,turbidity,phenophelene_alkanity,total_alkalinity,chlorides,cod,total_kjeldahl_n,amonia_n,hardness_caco3,calcium_caco3,magnesium_caco3,sulphate,sodium,total_dissolved_solids,total_fixed_solids,total_suspended_solids,phosphate,boron,potassium,flouride,latitude,longitude,source_file,dissolved_oxygen,nitrate,station_name,river_name,year,season,available_compliance_label,strict_compliance_label,core_parameter_count,available_compliance_parameters,missing_required_parameters,label_confidence,violation_reasons,violation_count,risk_score,risk_category,risk_confidence
5992,07-03-2025,Jul,11:00:00,"Asna River, Dist- Nanded",River,,,Nanded,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,Washing,Yes,Clear,,0.0,20.0,6.8,8.3,679.0,3.2,0.88,,1.8(BDL),17.0,1.8(BDL),1.27,5(BDL),180,66.98,12.0,3.92,0.61,160.0,78.0,82.0,47.76,61.52,563.0,507.0,27,0.98,0.52,4.11,0.63,19.175556,77.350556,NWMP_July2025.csv,6.8,0.88,"Asna River, Dist- Nanded",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.2 > 3),1,0.17,Low Risk,High
12,07-04-2025,Jul,09:30:00,"Godavari river at Dhalegaon, Village. Dhalegaon, Taluka. Pathari,  District. Parbhani.",River,Godavari,Godavari,Parbhani,Maharashtra,Maharashtra PCB,Monthly,,"E (Irrigation, industrial cooling and controlled waste)",,Clear,Greater than 100cm,Cultivation,Yes,Clear,,0.0,18.0,6.2,7.9,651.0,2.2,7.1,,1.8(BDL),35.0,1.8(BDL),1.31,6,270,18.99,8.0,1.68,0.42,210.0,102.0,108.0,46.8,32.38,538.0,485.0,10(BDL),0.97,0.5(BDL),1(BDL),0.42,19°13.524,76°21.854,NWMP_July2025.csv,6.2,7.1,"Godavari river at Dhalegaon, Village. Dhalegaon, Taluka. Pathari,  District. Parbhani.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
5991,07-04-2025,Jul,11:20:00,"Purna River, Yeldari dam, Dist- Parbhani",River,,,Parbhani,Maharashtra,Maharashtra PCB,Monthly,,C (Drinking water source),,Clear,Greater than 100cm,Cultivation,Yes,Clear,,0.0,18.0,6.2,8.1,429.0,3.8,0.78,,1.8(BDL),25.0,1.8(BDL),1.3,6,140,33.99,16.0,3.92,1.63,130.0,60.0,70.0,72.54,33.99,359.0,324.0,10(BDL),1.05,0.56,3.62,0.54,19.72034,76.73189,NWMP_July2025.csv,6.2,0.78,"Purna River, Yeldari dam, Dist- Parbhani",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.8 > 3),1,0.68,Low Risk,High
1153,07-07-2025,Jul,12:15:00,"Krishna river at Rajapur Weir, Village. Rajapur, Taluka. Shirol, District. Kolhapur.",River,Krishna,Krishna,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,,No Information,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,,0.0,29.0,6.7,7.7,107.0,3.0,1.11,,6.8,25.0,1.8(BDL),1(BDL),5(BDL),50,12.65,12.0,2.24,0.79,46.6,28.0,18.6,7.44,6,79.0,60.2,11,0.2(BDL),,1(BDL),0.2(BDL),16°37.717 ,74°39.893,NWMP_July2025.csv,6.7,1.11,"Krishna river at Rajapur Weir, Village. Rajapur, Taluka. Shirol, District. Kolhapur.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
1310,07-07-2025,Jul,05:00:00,"Krishna river at Kurundwad near Santaji Ghorpade Ghat , Village.Narshingwadi, Kurundwad, Taluka. Shirol, District. Kolhapur.",River,Krishna,Krishna,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,,No Information,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,,0.0,28.0,6.5,7.8,117.0,3.0,0.97,,6.1,26.0,1.8(BDL),1.4,5(BDL),56,13.05,16.0,3.36,1.06,58.4,30.2,28.0,6.82,6.4,92.0,66.3,10(BDL),0.2(BDL),,1(BDL),0.44,16°41.276,74°36.055,NWMP_July2025.csv,6.5,0.97,"Krishna river at Kurundwad near Santaji Ghorpade Ghat , Village.Narshingwadi, Kurundwad, Taluka. Shirol, District. Kolhapur.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
1904,07-07-2025,Jul,09:30:00,"Panchaganga river at U/s of Kolhapur town near Balinga Pumping station, Village.Balinga, Taluka. Karvir, District. Kolhapur.",River,Panchganga,Panchganga,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,,No Information,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,,0.0,29.0,6.8,7.8,104.0,3.0,1.08,,5.6,25.0,1.8(BDL),1(BDL),5(BDL),48,12.6,12.0,2.8,0.98,43.6,32.0,11.6,7.15,6,78.0,58.7,12,0.2(BDL),,1(BDL),0.73,16°41.553',74°09.973',NWMP_July2025.csv,6.8,1.08,"Panchaganga river at U/s of Kolhapur town near Balinga Pumping station, Village.Balinga, Taluka. Karvir, District. Kolhapur.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
1905,07-07-2025,Jul,01:00:00,"Panchaganga river at D/s of Kolhapur town at Gandhi nagar near NH.4 bridge and MIDC, Village. Uchegaon, Taluka. Kolhapur, District. Kolhapur.",River,Panchganga,Panchganga,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,Plastic Waste,No Information,Muncipal Sewage,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,,0.0,29.0,6.6,7.8,108.0,3.0,1.12,,6.1,24.0,1.8(BDL),1(BDL),5(BDL),48,11.45,16.0,1.68,0.64,49.0,30.2,18.0,7.01,5.2,84.0,62.3,12,0.2(BDL),,1(BDL),0.2(BDL),16°42.697',74°16.822',NWMP_July2025.csv,6.6,1.12,"Panchaganga river at D/s of Kolhapur town at Gandhi nagar near NH.4 bridge and MIDC, Village. Uchegaon, Taluka. Kolhapur, District. Kolhapur.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
2163,07-07-2025,Jul,05:30:00,"Panchaganga river at Shirol near Shirol Intake well, Village. Shirol, Taluka. Shirol, District. Kolhapur.",River,Panchganga,Panchganga,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,,No Information,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,,0.0,28.0,6.5,7.6,123.0,3.0,0.96,,6,25.0,1.8(BDL),1(BDL),5(BDL),56,13.8,20.0,2.8,0.85,59.2,36.6,22.6,7.01,6.4,98.0,69.0,11,0.2(BDL),,1(BDL),1.42,16º43.313',74º35.672',NWMP_July2025.csv,6.5,0.96,"Panchaganga river at Shirol near Shirol Intake well, Village. Shirol, Taluka. Shirol, District. Kolhapur.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
1311,07-07-2025,Jul,03:55:00,"Panchaganga river at Ichalkaranji near MIDC  intake well. Village. Shiradhwad  (Ichalkaranji ghat), Taluka.Hatkanangale, District. Kolhapur.",River,Panchganga,Panchganga,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,,No Information,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,,0.0,29.0,6.5,7.7,117.0,2.8,0.88,,9.2,33.0,1.8(BDL),1(BDL),5(BDL),52,13.2,24.0,2.24,0.79,48.4,37.2,11.0,5.73,6.2,83.0,67.5,10(BDL),0.2(BDL),,1(BDL),0.39,16°39.950,74°28.495,NWMP_July2025.csv,6.5,0.88,"Panchaganga river at Ichalkaranji near MIDC  intake well. Village. Shiradhwad  (Ichalkaranji ghat), Taluka.Hatkanangale, District. Kolhapur.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
5986,07-07-2025,Jul,10:30:00,"Haladi River, Dist-Kolhapur",River,,,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,Plastic Waste,No Information,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,,0.0,29.0,6.6,7.8,103.0,3.0,1.08,,6.1,26.0,1.8(BDL),1(BDL),5(BDL),48,12.45,16.0,3.36,1.06,42.0,32.0,10.0,6.01,72,11.0,60.5,11,0.2(BDL),,1(BDL),0.2(BDL),16.5833,74.15,NWMP_July2025.csv,6.6,1.08,"Haladi River, Dist-Kolhapur",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
5987,07-07-2025,Jul,04:30:00,"Panchaganga River, Terwad bandhara, Dist- Kolhapur",River,,,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,,No Information,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,,0.0,29.0,6.4,7.6,123.0,2.8,0.87,,9.3,34.0,1.8(BDL),1(BDL),5(BDL),48,12.65,12.0,3.36,1.13,51.4,32.6,18.0,5.31,6.2,80.0,68.0,11,0.2(BDL),,1(BDL),0.44,16.67253,74.572223,NWMP_July2025.csv,6.4,0.87,"Panchaganga River, Terwad bandhara, Dist- Kolhapur",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
37,07-03-2025,Jul,16:50:00,"Krishna river at Maighat, Village. Gawali gally, Taluka. Miraj,  District. Sangli.",River,Krishna,Krishna,Sangli,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,Others,No,Muddish,Odor Free,0.0,25.0,7.1,8.4,1589.0,3.0,1.06,,8.3,27.0,1.8(BDL),2.1,5(BDL),66,15.25,24.0,1.68,0.59,74.6,51.2,23.4,7.69,7,108.0,92.0,12,0.2(BDL),,1(BDL),0.41,16°51.710,74°33.459 ,NWMP_July2025.csv,7.1,1.06,"Krishna river at Maighat, Village. Gawali gally, Taluka. Miraj,  District. Sangli.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
1906,07-03-2025,Jul,07:30:00,"Krishna river at Walwa, D/s of Islampur near Vithal Temple, Village. Walwa, Taluka. Walwa, District. Sangli.",River,Krishna,Krishna,Sangli,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,Others,No,Muddish,Odor Free,0.0,25.0,6.9,8.4,2461.0,3.2,1.18,,6.8,25.0,1.8(BDL),1.3,5(BDL),100,18.89,16.0,1.68,0.56,98.0,60.0,38.0,12.07,9.2,161.0,139.0,11,0.2(BDL),,1.16,0.44,17°01.674,74°22.131',NWMP_July2025.csv,6.9,1.18,"Krishna river at Walwa, D/s of Islampur near Vithal Temple, Village. Walwa, Taluka. Walwa, District. Sangli.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.2 > 3),1,0.17,Low Risk,High
5988,07-03-2025,Jul,18:35:00,"Krishna River at nagthane KT weir, nagthane, Tal-Walwa, Dist-Sangli",River,,,Sangli,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,Others,No,Muddish,Odor Free,0.0,25.0,6.6,8.4,2401.0,3.0,1.18,,8.1,33.0,1.8(BDL),1.2,5(BDL),92,17.09,16.0,2.24,0.81,98.0,61.4,36.6,9.77,8,162.0,135.0,12,0.2(BDL),,1(BDL),0.2(BDL),17.02545,74.39523,NWMP_July2025.csv,6.6,1.18,"Krishna River at nagthane KT weir, nagthane, Tal-Walwa, Dist-Sangli",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
5989,07-03-2025,Jul,16:55:00,"Krishna River at krishna ghat, miraj Dist-Sangli",River,,,Sangli,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,Others,No,Muddish,Odor Free,0.0,25.0,6.7,8.3,171.0,3.2,1.13,,8.3,34.0,1.8(BDL),1(BDL),5(BDL),78,13.8,12.0,2.8,1.02,71.4,55.4,16.0,8.42,6.5,113.0,95.0,12,0.2(BDL),,1(BDL),0.2(BDL),16.78852,74.6315,NWMP_July2025.csv,6.7,1.13,"Krishna River at krishna ghat, miraj Dist-Sangli",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.2 > 3),1,0.17,Low Risk,High
5990,07-03-2025,Jul,17:20:00,"Krishna River at new haripur bridge, Tal- Miraj, Dist-Sangli",River,,,Sangli,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,Others,No,Muddish,Odor Free,0.0,25.0,7.2,8.3,170.0,2.8,1.09,,6.8,27.0,1.8(BDL),1(BDL),5(BDL),74,12.45,12.0,2.24,0.93,67.6,49.2,18.4,7.25,6,111.0,94.0,11,0.2(BDL),,1(BDL),0.2(BDL),16.84793,74.53857,NWMP_July2025.csv,7.2,1.09,"Krishna River at new haripur bridge, Tal- Miraj, Dist-Sangli",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
2164,07-03-2025,Jul,11:30:00,"Vashishti river at U/s of Three M Paper Mills near M/s Multifilms Plastic  Pvt. Ltd ., Village. Kherdi, Taluka. Chiplun, District. Ratnagiri.",River,Vashisthi,Vashisthi,Ratnagiri,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,Others,Yes,Clear,,0.0,,7,7.7,80.0,2.8,0.34,,8.1,24.0,1.8(BDL),1.1,,38,9.5,20.0,3.92,1.14,35.0,18.6,16.4,5.31,5(BDL),62.0,46.1,11,0.2(BDL),,1(BDL),1.28,17°31.513,73°33.057,NWMP_July2025.csv,7.0,0.34,"Vashishti river at U/s of Three M Paper Mills near M/s Multifilms Plastic  Pvt. Ltd ., Village. Kherdi, Taluka. Chiplun, District. Ratnagiri.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
2713,07-03-2025,Jul,11:40:00,"Vashishti river at D/s of Three M Paper Mills near Chiplun water intake  jackwell,  Village. Kherdi, Taluka. Chiplun, District. Ratnagiri.",River,Vashisthi,Vashisthi,Ratnagiri,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,Others,Yes,Clear,,0.0,,6.7,7.8,82.0,3.2,0.41,,6.1,21.0,1.8(BDL),1(BDL),5(BDL),38,10.25,24.0,2.8,0.96,45.8,21.0,24.8,5.24,5(BDL),72.0,46.8,10(BDL),0.2(BDL),,1(BDL),0.46,17° 39.567,73° 32.357,NWMP_July2025.csv,6.7,0.41,"Vashishti river at D/s of Three M Paper Mills near Chiplun water intake  jackwell,  Village. Kherdi, Taluka. Chiplun, District. Ratnagiri.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.2 > 3),1,0.17,Low Risk,High
2714,07-03-2025,Jul,11:50:00,"Vashishti river at U/s of Pophali near Konphansawane bridge, Village. Pophali, Taluka. Chiplun, District. Ratnagiri.",River,Vashisthi,Vashisthi,Ratnagiri,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,Others,Yes,Clear,,0.0,,6.8,7.7,65.0,3.0,0.3(BDL),,8.2,32.0,1.8(BDL),1(BDL),5(BDL),28,11.85,16.0,3.92,1.23,28.0,18.6,9.4,6.12,5(BDL),54.0,37.8,12,0.2(BDL),,1(BDL),0.2(BDL),17° 26.266,73° 39.420,NWMP_July2025.csv,6.8,0.3(BDL),"Vashishti river at U/s of Pophali near Konphansawane bridge, Village. Pophali, Taluka. Chiplun, District. Ratnagiri.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
2804,07-03-2025,Jul,12:15:00,"Karambavane creek at Chiplun, Village. Karambavane, Taluka. Chiplun, District. Ratnagiri.",Creek,Karambavane,Karambavane,Ratnagiri,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,Others,Yes,Clear,,0.0,,6.5,7.6,126.0,3.2,0.4,,6,24.0,,1(BDL),5(BDL),40,20.04,16.0,3.36,1.24,44.2,25.6,18.6,5.64,9,86.0,73.0,10(BDL),0.2(BDL),,1.12,0.4,17° 34.867,73° 25.913,NWMP_July2025.csv,6.5,0.4,"Karambavane creek at Chiplun, Village. Karambavane, Taluka. Chiplun, District. Ratnagiri.",Creek,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.2 > 3),1,0.17,Low Risk,High
