slno,station,agency,state_lgd_code,state,district_lgd_code,district,tehsil,block,village,river,basin,tributary,subtributary,subsubtributary,local_river,latitude,longitude,data_acquisition_time,biochemical_oxygen_demand_mg_l,chemical_oxygen_demand_mg_l,fecal_coliform_mpn_100ml,total_coliform_mpn_100ml,source_file,dissolved_oxygen,bod,ph,temperature,conductivity,nitrate,fecal_coliform,total_coliform,fecal_streptococci,turbidity,cod,total_dissolved_solids,station_name,river_name,sampling_date,month,year,season,available_compliance_label,strict_compliance_label,core_parameter_count,available_compliance_parameters,missing_required_parameters,label_confidence,violation_reasons,violation_count,risk_score,risk_category,risk_confidence
11,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,12-07-2021 08:00,1.19,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.19,,,,,,,,,1.19,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
12,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,22-07-2021 08:00,1.99,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.99,,,,,,,,,1.99,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
13,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,02-08-2021 08:00,1.62,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.62,,,,,,,,,1.62,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
14,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,11-08-2021 08:00,1.42,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.42,,,,,,,,,1.42,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
15,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,21-08-2021 08:00,2.03,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.03,,,,,,,,,2.03,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
16,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,01-09-2021 08:00,1.81,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.81,,,,,,,,,1.81,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
17,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,11-09-2021 08:00,1.0,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.0,,,,,,,,,1.0,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
18,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,21-09-2021 08:00,1.61,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.61,,,,,,,,,1.61,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
19,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,01-10-2021 08:00,3.01,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,3.01,,,,,,,,,3.01,,,,,,,,Non-Compliant,Insufficient_Data,1,BOD,"DO, pH",Low,BOD (3.01 > 3),1,0.02,Low Risk,Low
20,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,11-10-2021 08:00,1.81,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.81,,,,,,,,,1.81,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
21,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,21-10-2021 08:00,1.2,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.2,,,,,,,,,1.2,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
22,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,01-11-2021 08:00,1.19,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.19,,,,,,,,,1.19,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
23,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,12-11-2021 08:00,1.19,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.19,,,,,,,,,1.19,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
24,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,22-11-2021 08:00,1.39,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.39,,,,,,,,,1.39,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
25,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,01-12-2021 08:00,1.38,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.38,,,,,,,,,1.38,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
26,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,11-12-2021 08:00,1.38,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.38,,,,,,,,,1.38,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
27,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,21-12-2021 08:00,1.18,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.18,,,,,,,,,1.18,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
28,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,01-01-2022 08:00,1.99,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.99,,,,,,,,,1.99,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
29,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,11-01-2022 08:00,1.19,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.19,,,,,,,,,1.19,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
30,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,21-01-2022 08:00,0.99,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,0.99,,,,,,,,,0.99,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
31,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,01-02-2022 08:00,1.4,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.4,,,,,,,,,1.4,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
32,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,11-02-2022 08:00,1.2,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.2,,,,,,,,,1.2,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
33,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,21-02-2022 08:00,1.0,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.0,,,,,,,,,1.0,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
34,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,01-04-2022 08:00,2.8,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.8,,,,,,,,,2.8,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
35,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,11-04-2022 08:00,1.0,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.0,,,,,,,,,1.0,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
36,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,21-04-2022 08:00,1.4,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.4,,,,,,,,,1.4,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
37,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,02-05-2022 08:00,1.2,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.2,,,,,,,,,1.2,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
38,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,11-05-2022 08:00,1.4,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.4,,,,,,,,,1.4,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
39,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,21-05-2022 08:00,1.8,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.8,,,,,,,,,1.8,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
40,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,01-06-2022 08:00,1.2,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.2,,,,,,,,,1.2,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
41,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,11-06-2022 08:00,3.0,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,3.0,,,,,,,,,3.0,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
42,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,21-06-2022 08:00,3.4,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,3.4,,,,,,,,,3.4,,,,,,,,Non-Compliant,Insufficient_Data,1,BOD,"DO, pH",Low,BOD (3.4 > 3),1,0.85,Low Risk,Low
43,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,01-07-2022 08:00,2.6,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.6,,,,,,,,,2.6,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
44,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,11-07-2022 08:00,3.0,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,3.0,,,,,,,,,3.0,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
45,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,21-07-2022 08:00,2.8,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.8,,,,,,,,,2.8,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
46,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,01-08-2022 08:00,3.0,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,3.0,,,,,,,,,3.0,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
47,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,11-08-2022 08:00,1.4,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.4,,,,,,,,,1.4,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
48,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,22-08-2022 08:00,2.0,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.0,,,,,,,,,2.0,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
49,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,01-09-2022 08:00,2.0,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.0,,,,,,,,,2.0,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
50,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,12-09-2022 08:00,2.8,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.8,,,,,,,,,2.8,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
51,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,21-09-2022 08:00,2.2,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.2,,,,,,,,,2.2,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
52,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,01-10-2022 08:00,2.8,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.8,,,,,,,,,2.8,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
53,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,11-10-2022 08:00,2.4,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.4,,,,,,,,,2.4,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
54,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,21-10-2022 08:00,2.0,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.0,,,,,,,,,2.0,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
55,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,01-11-2022 08:00,1.6,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.6,,,,,,,,,1.6,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
56,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,11-11-2022 08:00,2.6,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.6,,,,,,,,,2.6,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
57,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,21-11-2022 08:00,2.2,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.2,,,,,,,,,2.2,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
58,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,01-12-2022 08:00,2.4,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,2.4,,,,,,,,,2.4,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
59,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,11-01-2023 08:00,1.0,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.0,,,,,,,,,1.0,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
60,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,21-01-2023 08:00,1.0,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.0,,,,,,,,,1.0,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
61,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,01-02-2023 08:00,1.0,,,,swq_biological_parameter_manual_cwc_ap_2021_2025.csv,,1.0,,,,,,,,,1.0,,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,1,BOD,"DO, pH",Low,None,0,0.0,Low Risk,Low
