stn_code,sampling_date,month,sampling_time,stn_name,type_water_body,name_of_water_body,river_basin,district,state_name,mon_agency,frequency,major_polluting_sources,use_based_class,use_of_water_in_down_stream,visibility_effluent_discharge,weather,approx_depth,human_activities,floating_matter,color,odor,flow,temperature,dissolved_o2,ph,conductivity,bod,nitrate_n,fecal_coliform,total_coliform,fecal_streptococci,turbidity,phenophelene_alkanity,total_alkalinity,chlorides,cod,total_kjeldahl_n,amonia_n,hardness_caco3,calcium_caco3,magnesium_caco3,sulphate,sodium,total_dissolved_solids,total_fixed_solids,total_suspended_solids,phosphate,boron,potassium,flouride,remark,latitude,longitude,source_file,dissolved_oxygen,nitrate,station_name,river_name,year,season,available_compliance_label,strict_compliance_label,core_parameter_count,available_compliance_parameters,missing_required_parameters,label_confidence,violation_reasons,violation_count,risk_score,risk_category,risk_confidence
5992,09-03-2025,Sep,11:15:00,"Asna River, Dist- Nanded",River,,,Nanded,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,"Washing,Idol Emersion Wading",Yes,Clear,,0.0,23.0,4.5,8.2,581.0,5.8,4,1.8(BDL),17.0,1.8(BDL),1.21,5(BDL),140,32.99,24.0,2.24,0.91,124.0,60.0,64.0,65.1,38.33,485.0,437.0,16,0.32,0.66,2.61,0.98,,19.175556,77.350556,NWMP_September2025_MPCB_0.csv,4.5,4,"Asna River, Dist- Nanded",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,DO (4.5 < 5); BOD (5.8 > 3),2,6.38,Low Risk,High
12,09-09-2025,Sep,17:00:00,"Godavari river at Dhalegaon, Village. Dhalegaon, Taluka. Pathari,  District. Parbhani.",River,Godavari,Godavari,Parbhani,Maharashtra,Maharashtra PCB,Monthly,,"E (Irrigation, industrial cooling and controlled waste)",,,Clear,Greater than 100cm,Cultivation,Yes,Clear,,0.0,18.0,7.6,8.4,418.0,2.2,1.46,1.8(BDL),17.0,1.8(BDL),1.02,6,136,28.99,8.0,1.68,0.61,80.0,42.0,38.0,56.84,44.12,354.0,319.0,12,0.27,0.5(BDL),3.86,0.55,,19°13.524,76°21.854,NWMP_September2025_MPCB_0.csv,7.6,1.46,"Godavari river at Dhalegaon, Village. Dhalegaon, Taluka. Pathari,  District. Parbhani.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
5991,09-10-2025,Sep,09:30:00,"Purna River, Yeldari dam, Dist- Parbhani",River,,,Parbhani,Maharashtra,Maharashtra PCB,Monthly,,A (Drinking Water source without conventional treatment but after disinfection),,,Clear,Greater than 100cm,Cultivation,Yes,Clear,,0.0,19.0,5.8,8.1,404.0,4.0,1.8,1.8(BDL),20.0,1.8(BDL),1.01,6,140,29.99,16.0,1.68,0.61,102.0,40.0,62.0,50.48,24.72,345.0,311.0,11,0.31,0.57,3.22,0.39,,19.72034,76.73189,NWMP_September2025_MPCB_0.csv,5.8,1.8,"Purna River, Yeldari dam, Dist- Parbhani",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (4.0 > 3),1,0.85,Low Risk,High
1153,09-02-2025,Sep,05:10:00,"Krishna river at Rajapur Weir, Village. Rajapur, Taluka. Shirol, District. Kolhapur.",River,Krishna,Krishna,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,,No Information,,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,Odor Free,0.0,28.0,6.7,8.0,117.0,2.8,1.01,6.8,27.0,1.8(BDL),1(BDL),5(BDL),70,17.54,16.0,1.5(BDL),0.44,64.2,36.8,27.4,6.93,6.28,100.0,90.0,12,0.2(BDL),,1(BDL),0.25,,16°37.717 ,74°39.893,NWMP_September2025_MPCB_0.csv,6.7,1.01,"Krishna river at Rajapur Weir, Village. Rajapur, Taluka. Shirol, District. Kolhapur.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
1310,09-02-2025,Sep,06:30:00,"Krishna river at Kurundwad near Santaji Ghorpade Ghat , Village.Narshingwadi, Kurundwad, Taluka. Shirol, District. Kolhapur.",River,Krishna,Krishna,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,,No Information,,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,Odor Free,0.0,28.0,6.8,8.2,122.0,2.8,0.94,8.1,32.0,1.8(BDL),1(BDL),5(BDL),56,13.75,12.0,1.5(BDL),0.4,40.6,23.0,17.6,8.85,5(BDL),101.0,91.0,10(BDL),0.2(BDL),,1(BDL),0.36,,16°41.276,74°36.055,NWMP_September2025_MPCB_0.csv,6.8,0.94,"Krishna river at Kurundwad near Santaji Ghorpade Ghat , Village.Narshingwadi, Kurundwad, Taluka. Shirol, District. Kolhapur.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
1904,09-02-2025,Sep,10:30:00,"Panchaganga river at U/s of Kolhapur town near Balinga Pumping station, Village.Balinga, Taluka. Karvir, District. Kolhapur.",River,Panchganga,Panchganga,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,,No Information,,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,Odor Free,0.0,28.0,6.7,7.9,82.0,3.0,0.73,6.1,21.0,1.8(BDL),1(BDL),5(BDL),40,10.4,12.0,1.5(BDL),0.4,41.8,28.2,13.6,7.64,5(BDL),69.0,62.0,11,0.2(BDL),,1(BDL),0.25,,16°41.553',74°09.973',NWMP_September2025_MPCB_0.csv,6.7,0.73,"Panchaganga river at U/s of Kolhapur town near Balinga Pumping station, Village.Balinga, Taluka. Karvir, District. Kolhapur.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
1905,09-02-2025,Sep,07:45:00,"Panchaganga river at D/s of Kolhapur town at Gandhi nagar near NH.4 bridge and MIDC, Village. Uchegaon, Taluka. Kolhapur, District. Kolhapur.",River,Panchganga,Panchganga,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,,No Information,,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,Odor Free,0.0,28.0,6.7,8.1,84.0,3.0,0.63,8.2,33.0,1.8(BDL),1(BDL),5(BDL),44,11.4,12.0,1.5(BDL),0.4,30.0,18.8,11.2,6.5,5(BDL),65.0,58.0,11,0.2(BDL),,1(BDL),0.28,,16°42.697',74°16.822',NWMP_September2025_MPCB_0.csv,6.7,0.63,"Panchaganga river at D/s of Kolhapur town at Gandhi nagar near NH.4 bridge and MIDC, Village. Uchegaon, Taluka. Kolhapur, District. Kolhapur.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
2163,09-02-2025,Sep,07:00:00,"Panchaganga river at Shirol near Shirol Intake well, Village. Shirol, Taluka. Shirol, District. Kolhapur.",River,Panchganga,Panchganga,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,,No Information,,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,Odor Free,0.0,28.0,6.7,8.3,173.0,3.0,1.02,8.3,27.0,1.8(BDL),1(BDL),5(BDL),50,13.1,16.0,1.5(BDL),0.4,42.4,22.0,20.4,7,5(BDL),131.0,118.0,12,0.2(BDL),0.5(BDL),1(BDL),0.41,,16º43.313',74º35.672',NWMP_September2025_MPCB_0.csv,6.7,1.02,"Panchaganga river at Shirol near Shirol Intake well, Village. Shirol, Taluka. Shirol, District. Kolhapur.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
1311,09-02-2025,Sep,04:25:00,"Panchaganga river at Ichalkaranji near MIDC  intake well. Village. Shiradhwad  (Ichalkaranji ghat), Taluka.Hatkanangale, District. Kolhapur.",River,Panchganga,Panchganga,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,,No Information,,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,Odor Free,0.0,28.0,6.7,7.3,111.0,2.8,0.67,6.8,25.0,1.8(BDL),1.1,5(BDL),56,9.75,12.0,1.5(BDL),0.4,44.0,34.2,9.8,7.13,5(BDL),87.0,78.0,12,0.2(BDL),,1(BDL),0.44,,16°39.950,74°28.495,NWMP_September2025_MPCB_0.csv,6.7,0.67,"Panchaganga river at Ichalkaranji near MIDC  intake well. Village. Shiradhwad  (Ichalkaranji ghat), Taluka.Hatkanangale, District. Kolhapur.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
5986,09-02-2025,Sep,11:45:00,"Bhogawati River water sample at Haldi KT Weir, Tal. Karveer, Dist. Kolhapur ",River,,,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,,No Information,,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,Odor Free,0.0,28.0,6.6,8.1,88.0,3.0,0.58,6.8,26.0,1.8(BDL),1(BDL),5(BDL),42,11.4,16.0,1.5(BDL),0.4,32.6,23.4,9.2,6.93,5(BDL),73.0,65.0,12,0.2(BDL),,1(BDL),0.32,,16.5833,74.15,NWMP_September2025_MPCB_0.csv,6.6,0.58,"Bhogawati River water sample at Haldi KT Weir, Tal. Karveer, Dist. Kolhapur ",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
5987,09-02-2025,Sep,04:40:00,"Panchaganga River, Terwad bandhara, Dist- Kolhapur",River,,,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,,No Information,,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,Odor Free,0.0,28.0,6.4,7.8,120.0,3.0,0.9,6.1,24.0,1.8(BDL),1(BDL),5(BDL),54,13.1,12.0,1.5(BDL),0.4,42.8,23.2,19.6,7.92,5(BDL),93.0,83.0,11,0.2(BDL),,1(BDL),0.36,,16.67253,74.572223,NWMP_September2025_MPCB_0.csv,6.4,0.9,"Panchaganga River, Terwad bandhara, Dist- Kolhapur",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
37,09-03-2025,Sep,12:00:00,"Krishna river at Maighat, Village. Gawali gally, Taluka. Miraj,  District. Sangli.",River,Krishna,Krishna,Sangli,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Others,No,Clear,Odor Free,0.0,25.0,6.4,8.0,340.0,3.2,1.74,8.2,32.0,1.8(BDL),1.2,5(BDL),126,27.29,12.0,1.5(BDL),0.4,111.0,60.8,50.2,6,9.78,252.0,224.0,10(BDL),0.2(BDL),,1(BDL),0.31,,16°51.710,74°33.459 ,NWMP_September2025_MPCB_0.csv,6.4,1.74,"Krishna river at Maighat, Village. Gawali gally, Taluka. Miraj,  District. Sangli.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.2 > 3),1,0.17,Low Risk,High
1906,09-03-2025,Sep,04:00:00,"Krishna river at Walwa, D/s of Islampur near Vithal Temple, Village. Walwa, Taluka. Walwa, District. Sangli.",River,Krishna,Krishna,Sangli,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Others,No,Clear,Odor Free,0.0,25.0,6.7,8.3,2474.0,3.0,1.32,6.1,26.0,1.8(BDL),1.1,5(BDL),104,17.14,12.0,1.5(BDL),0.4,86.6,52.8,33.8,6.4,6.14,186.0,164.0,11,0.2(BDL),,1(BDL),0.26,,17°01.674,74°22.131',NWMP_September2025_MPCB_0.csv,6.7,1.32,"Krishna river at Walwa, D/s of Islampur near Vithal Temple, Village. Walwa, Taluka. Walwa, District. Sangli.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
5988,09-03-2025,Sep,03:15:00,"Krishna River at nagthane KT weir, nagthane, Tal-Walwa, Dist-Sangli",River,,,Sangli,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Others,No,Clear,Odor Free,0.0,25.0,6.6,8.2,2374.0,3.0,1.36,6.8,27.0,1.8(BDL),1(BDL),5(BDL),108,19.14,16.0,1.5(BDL),0.4,85.2,51.4,33.8,7.23,6.74,179.0,159.0,10(BDL),0.2(BDL),,1(BDL),0.2(BDL),,17.02545,74.39523,NWMP_September2025_MPCB_0.csv,6.6,1.36,"Krishna River at nagthane KT weir, nagthane, Tal-Walwa, Dist-Sangli",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
5989,09-03-2025,Sep,11:00:00,"Krishna River at krishna ghat, miraj Dist-Sangli",River,,,Sangli,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Others,No,muddish,Odor Free,0.0,25.0,6.6,8.1,2483.0,3.0,1.32,9.2,33.0,1.8(BDL),1(BDL),5(BDL),1040,18.69,16.0,1.5(BDL),0.4,86.0,52.0,34.0,6.65,6.81,188.0,169.0,10(BDL),0.2(BDL),,1(BDL),0.22,,16.78852,74.6315,NWMP_September2025_MPCB_0.csv,6.6,1.32,"Krishna River at krishna ghat, miraj Dist-Sangli",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
5990,09-03-2025,Sep,11:30:00,"Krishna River at new haripur bridge, Tal- Miraj, Dist-Sangli",River,,,Sangli,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Others,No,Muddish,Odor Free,0.0,25.0,6.3,8.0,3325.0,3.0,1.73,8.1,32.0,1.8(BDL),1(BDL),5(BDL),1300,31.79,12.0,1.5(BDL),0.4,115.4,61.2,54.2,12.37,11.47,248.0,223.0,11,0.2(BDL),,1(BDL),0.2(BDL),,16.84793,74.53857,NWMP_September2025_MPCB_0.csv,6.3,1.73,"Krishna River at new haripur bridge, Tal- Miraj, Dist-Sangli",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
2164,09-03-2025,Sep,18:45:00,"Vashishti river at U/s of Three M Paper Mills near M/s Multifilms Plastic  Pvt. Ltd ., Village. Kherdi, Taluka. Chiplun, District. Ratnagiri.",River,Vashisthi,Vashisthi,Ratnagiri,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Others,Yes,Clear,,0.0,,6.7,7.6,92.0,3.0,0.33,9.3,34.0,1.8(BDL),1(BDL),5(BDL),480,11,16.0,1.5(BDL),0.4,37.4,29.2,8.2,7.65,5(BDL),72.0,65.0,10(BDL),0.2(BDL),,1(BDL),0.2(BDL),,17°31.513,73°33.057,NWMP_September2025_MPCB_0.csv,6.7,0.33,"Vashishti river at U/s of Three M Paper Mills near M/s Multifilms Plastic  Pvt. Ltd ., Village. Kherdi, Taluka. Chiplun, District. Ratnagiri.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
2713,09-04-2025,Sep,11:25:00,"Vashishti river at D/s of Three M Paper Mills near Chiplun water intake  jackwell,  Village. Kherdi, Taluka. Chiplun, District. Ratnagiri.",River,Vashisthi,Vashisthi,Ratnagiri,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Others,Yes,Clear,,0.0,,6.7,7.5,87.0,3.2,,6.1,24.0,1.8(BDL),1(BDL),5(BDL),54,7,16.0,1.5(BDL),0.4,38.0,26.6,11.4,6,5(BDL),66.0,59.0,11,0.2(BDL),,1(BDL),BDL,,17° 39.567,73° 32.357,NWMP_September2025_MPCB_0.csv,6.7,,"Vashishti river at D/s of Three M Paper Mills near Chiplun water intake  jackwell,  Village. Kherdi, Taluka. Chiplun, District. Ratnagiri.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.2 > 3),1,0.17,Low Risk,High
2714,09-03-2025,Sep,08:00:00,"Vashishti river at U/s of Pophali near Konphansawane bridge, Village. Pophali, Taluka. Chiplun, District. Ratnagiri.",River,Vashisthi,Vashisthi,Ratnagiri,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Others,Yes,Clear,,0.0,,6.7,7.6,67.0,3.0,0.32,6,21.0,1.8(BDL),1(BDL),5(BDL),380,7.85,16.0,1.5(BDL),0.44,25.8,18.8,7.0,7.71,5(BDL),57.0,51.0,11,0.2(BDL),,1(BDL),0.26,,17° 26.266,73° 39.420,NWMP_September2025_MPCB_0.csv,6.7,0.32,"Vashishti river at U/s of Pophali near Konphansawane bridge, Village. Pophali, Taluka. Chiplun, District. Ratnagiri.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
