stn_code,sampling_date,month,sampling_time,stn_name,type_water_body,name_of_water_body,river_basin,district,state_name,mon_agency,frequency,major_polluting_sources,use_based_class,use_of_water_in_down_stream,visibility_effluent_discharge,weather,approx_depth,human_activities,floating_matter,color,odor,flow,temperature,dissolved_o2,ph,conductivity,bod,nitrate_n,fecal_coliform,total_coliform,fecal_streptococci,turbidity,phenophelene_alkanity,total_alkalinity,chlorides,cod,total_kjeldahl_n,amonia_n,hardness_caco3,calcium_caco3,magnesium_caco3,sulphate,sodium,total_dissolved_solids,total_fixed_solids,total_suspended_solids,phosphate,boron,potassium,flouride,remark,latitude,longitude,source_file,dissolved_oxygen,nitrate,station_name,river_name,year,season,available_compliance_label,strict_compliance_label,core_parameter_count,available_compliance_parameters,missing_required_parameters,label_confidence,violation_reasons,violation_count,risk_score,risk_category,risk_confidence
5992,08-05-2025,Aug,09:30:00,"Asna River, Dist- Nanded",River,,,Nanded,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,"Bathing,Fishing",Yes,Clear,,0.0,31.0,5.3,9.0,413.0,4.8,1.74,1.8(BDL),25,1.8(BDL),1.2,6,100,32.99,24.0,3.36,1.82,120.0,62.0,58.0,58.64,38.47,339.0,306.0,11,0.32,0.59,3.25,0.31,,19.175556,77.350556,NWMP_August2025_MPCB_0.csv,5.3,1.74,"Asna River, Dist- Nanded",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (4.8 > 3); pH (9.0 not in 6.5-8.5),2,3.35,Low Risk,High
12,08-04-2025,Aug,09:10:00,"Godavari river at Dhalegaon, Village. Dhalegaon, Taluka. Pathari,  District. Parbhani.",River,Godavari,Godavari,Parbhani,Maharashtra,Maharashtra PCB,Monthly,,"E (Irrigation, industrial cooling and controlled waste)",,,Clear,Greater than 100cm,Cultivation,Yes,Clear,,0.0,18.0,7.7,8.5,332.0,2.8,0.74,1.8(BDL),30,1.8(BDL),1.02,6,146,18.99,12.0,3.36,2.01,164.0,84.0,80.0,23.02,31.91,302.0,272.0,11,1.02,0.54,3.02,0.84,,19°13.524,76°21.854,NWMP_August2025_MPCB_0.csv,7.7,0.74,"Godavari river at Dhalegaon, Village. Dhalegaon, Taluka. Pathari,  District. Parbhani.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
5991,08-03-2025,Aug,17:10:00,"Purna River, Yeldari dam, Dist- Parbhani",River,,,Parbhani,Maharashtra,Maharashtra PCB,Monthly,,C (Drinking water source),,,Clear,Greater than 100cm,Cultivation,Yes,Clear,,0.0,19.0,7.4,7.8,4231.0,3.2,0.66,1.8(BDL),20,1.8(BDL),1.01,6,132,32.99,16.0,4.48,2.4,122.0,58.0,64.0,35.28,32.62,356.0,321.0,10(BDL),1.01,0.53,3.49,0.98,,19.72034,76.73189,NWMP_August2025_MPCB_0.csv,7.4,0.66,"Purna River, Yeldari dam, Dist- Parbhani",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.2 > 3),1,0.17,Low Risk,High
1153,08-04-2025,Aug,04:55:00,"Krishna river at Rajapur Weir, Village. Rajapur, Taluka. Shirol, District. Kolhapur.",River,Krishna,Krishna,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,,No Information,,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,,0.0,26.0,7.1,7.8,169.0,2.6,1.14,5.6,25,1.8(BDL),1(BDL),5(BDL),62,12.95,16.0,1.5(BDL),0.44,61.2,40.0,21.2,8.8,5(BDL),129.0,116.0,11,0.2(BDL),,1(BDL),0.25,,16°37.717 ,74°39.893,NWMP_August2025_MPCB_0.csv,7.1,1.14,"Krishna river at Rajapur Weir, Village. Rajapur, Taluka. Shirol, District. Kolhapur.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
1310,08-04-2025,Aug,05:30:00,"Krishna river at Kurundwad near Santaji Ghorpade Ghat , Village.Narshingwadi, Kurundwad, Taluka. Shirol, District. Kolhapur.",River,Krishna,Krishna,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,,No Information,,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,,0.0,26.0,7,7.7,167.0,2.8,1.15,5.6,25,1.8(BDL),1(BDL),5(BDL),62,12.75,16.0,1.5(BDL),0.4,62.2,41.8,20.4,8.5,5(BDL),128.0,115.0,11,0.2(BDL),,1(BDL),0.2(BDL),,16°41.276,74°36.055,NWMP_August2025_MPCB_0.csv,7.0,1.15,"Krishna river at Kurundwad near Santaji Ghorpade Ghat , Village.Narshingwadi, Kurundwad, Taluka. Shirol, District. Kolhapur.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
1904,08-04-2025,Aug,11:45:00,"Panchaganga river at U/s of Kolhapur town near Balinga Pumping station, Village.Balinga, Taluka. Karvir, District. Kolhapur.",River,Panchganga,Panchganga,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,,No Information,,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,,0.0,26.0,6.9,7.6,92.0,3.0,0.78,5.6,25,1.8(BDL),1(BDL),5(BDL),42,7.85,16.0,1.5(BDL),0.4,41.8,30.2,11.6,7.8,5(BDL),76.0,68.0,10(BDL),0.2(BDL),,1(BDL),0.27,,16°41.553',74°09.973',NWMP_August2025_MPCB_0.csv,6.9,0.78,"Panchaganga river at U/s of Kolhapur town near Balinga Pumping station, Village.Balinga, Taluka. Karvir, District. Kolhapur.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
1905,08-04-2025,Aug,07:40:00,"Panchaganga river at D/s of Kolhapur town at Gandhi nagar near NH.4 bridge and MIDC, Village. Uchegaon, Taluka. Kolhapur, District. Kolhapur.",River,Panchganga,Panchganga,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,,No Information,,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,,0.0,26.0,7.1,7.8,130.0,2.8,0.91,5.6,24,1.8(BDL),1(BDL),5(BDL),60,10.4,24.0,1.5(BDL),0.54,61.0,41.0,20.0,6.5,5(BDL),104.0,94.0,12,0.2(BDL),,1(BDL),0.2(BDL),,16°42.697',74°16.822',NWMP_August2025_MPCB_0.csv,7.1,0.91,"Panchaganga river at D/s of Kolhapur town at Gandhi nagar near NH.4 bridge and MIDC, Village. Uchegaon, Taluka. Kolhapur, District. Kolhapur.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
2163,08-04-2025,Aug,06:05:00,"Panchaganga river at Shirol near Shirol Intake well, Village. Shirol, Taluka. Shirol, District. Kolhapur.",River,Panchganga,Panchganga,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,,No Information,,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,,0.0,26.0,6.9,7.7,153.0,3.0,0.97,5.5,24,1.8(BDL),1(BDL),5(BDL),58,12.9,20.0,1.5(BDL),0.42,58.2,40.0,18.2,9.6,5(BDL),118.0,106.0,12,0.2(BDL),,1(BDL),0.36,,16º43.313',74º35.672',NWMP_August2025_MPCB_0.csv,6.9,0.97,"Panchaganga river at Shirol near Shirol Intake well, Village. Shirol, Taluka. Shirol, District. Kolhapur.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
1311,08-04-2025,Aug,04:05:00,"Panchaganga river at Ichalkaranji near MIDC  intake well. Village. Shiradhwad  (Ichalkaranji ghat), Taluka.Hatkanangale, District. Kolhapur.",River,Panchganga,Panchganga,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,,No Information,,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,,0.0,26.0,6.8,7.8,142.0,2.8,0.91,9.3,34,1.8(BDL),1(BDL),5(BDL),58,10.4,12.0,1.5(BDL),0.4,61.0,42.4,18.6,7.5,5(BDL),112.0,101.0,12,0.2(BDL),,1(BDL),0.22,,16°39.950,74°28.495,NWMP_August2025_MPCB_0.csv,6.8,0.91,"Panchaganga river at Ichalkaranji near MIDC  intake well. Village. Shiradhwad  (Ichalkaranji ghat), Taluka.Hatkanangale, District. Kolhapur.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
5986,08-04-2025,Aug,11:05:00,"Bhogawati River water sample at Haldi KT Weir, Tal. Karveer, Dist. Kolhapur ",River,,,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,,No Information,,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,,0.0,26.0,6.4,7.7,96.0,3.0,0.74,6.8,27,1.8(BDL),1(BDL),5(BDL),62,8.05,24.0,1.5(BDL),0.51,48.6,29.4,19.2,7.4,5(BDL),78.0,70.0,10(BDL),0.2(BDL),,1(BDL),0.32,,16.5833,74.15,NWMP_August2025_MPCB_0.csv,6.4,0.74,"Bhogawati River water sample at Haldi KT Weir, Tal. Karveer, Dist. Kolhapur ",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
5987,08-04-2025,Aug,05:45:00,"Panchaganga River, Terwad bandhara, Dist- Kolhapur",River,,,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,,No Information,,,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,,0.0,26.0,6.7,7.7,144.0,2.8,0.97,9.2,33,1.8(BDL),1(BDL),5(BDL),54,12.2,20.0,1.5(BDL),0.4,60.0,39.6,20.4,8.82,5(BDL),114.0,103.0,12,0.2(BDL),,1(BDL),0.44,,16.67253,74.572223,NWMP_August2025_MPCB_0.csv,6.7,0.97,"Panchaganga River, Terwad bandhara, Dist- Kolhapur",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
37,08-05-2025,Aug,11:00:00,"Krishna river at Maighat, Village. Gawali gally, Taluka. Miraj,  District. Sangli.",River,Krishna,Krishna,Sangli,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Cloudy,Less than 50cm,Others,No,Clear,Odor Free,0.0,26.0,5.9,7.9,3336.0,3.0,1.35,6.8,25,1.8(BDL),1(BDL),5(BDL),1260,24.39,12.0,1.5(BDL),0.52,131.0,78.6,52.4,23.84,11,246.0,221.0,12,0.2(BDL),,1(BDL),0.2(BDL),,16°51.710,74°33.459 ,NWMP_August2025_MPCB_0.csv,5.9,1.35,"Krishna river at Maighat, Village. Gawali gally, Taluka. Miraj,  District. Sangli.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
1906,08-04-2025,Aug,13:15:00,"Krishna river at Walwa, D/s of Islampur near Vithal Temple, Village. Walwa, Taluka. Walwa, District. Sangli.",River,Krishna,Krishna,Sangli,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Cloudy,Less than 50cm,Others,No,Clear,Odor Free,0.0,27.0,6.7,7.9,2244.0,2.8,1.12,6.1,24,1.8(BDL),1(BDL),5(BDL),1100,8.35,16.0,1.5(BDL),0.4,99.6,63.2,36.4,6.24,5(BDL),168.0,151.0,12,0.2(BDL),,1(BDL),0.2(BDL),,17°01.674,74°22.131',NWMP_August2025_MPCB_0.csv,6.7,1.12,"Krishna river at Walwa, D/s of Islampur near Vithal Temple, Village. Walwa, Taluka. Walwa, District. Sangli.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
5988,08-04-2025,Aug,12:40:00,"Krishna River at nagthane KT weir, nagthane, Tal-Walwa, Dist-Sangli",River,,,Sangli,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Cloudy,Less than 50cm,Others,No,Clear,Odor Free,0.0,27.0,6.1,7.9,2618.0,3.0,1.24,8.3,34,1.8(BDL),1(BDL),5(BDL),1080,17.74,20.0,1.5(BDL),0.54,112.0,67.4,44.6,15.14,8,202.0,182.0,12,0.2(BDL),,1(BDL),0.2(BDL),,17.02545,74.39523,NWMP_August2025_MPCB_0.csv,6.1,1.24,"Krishna River at nagthane KT weir, nagthane, Tal-Walwa, Dist-Sangli",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
5989,08-05-2025,Aug,11:25:00,"Krishna River at krishna ghat, miraj Dist-Sangli",River,,,Sangli,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Cloudy,Less than 50cm,Others,No,Muddish,Odor Free,0.0,26.0,6.2,7.9,2725.0,3.0,1.45,8.1,33,1.8(BDL),1(BDL),5(BDL),1160,18.54,20.0,1.68,0.61,113.0,69.4,43.6,19.24,8.4,204.0,184.0,12,0.2(BDL),,1(BDL),0.22,,16.78852,74.6315,NWMP_August2025_MPCB_0.csv,6.2,1.45,"Krishna River at krishna ghat, miraj Dist-Sangli",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
5990,08-05-2025,Aug,12:45:00,"Krishna River at new haripur bridge, Tal- Miraj, Dist-Sangli",River,,,Sangli,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Cloudy,Less than 50cm,Others,No,Muddish,Odor Free,0.0,27.0,6.8,8.0,2348.0,2.8,1.1,6.1,26,1.8(BDL),1(BDL),5(BDL),1000,15.25,16.0,1.5(BDL),0.4,97.4,62.0,35.4,13.56,7,174.0,157.0,12,0.2(BDL),,1(BDL),0.22,,16.84793,74.53857,NWMP_August2025_MPCB_0.csv,6.8,1.1,"Krishna River at new haripur bridge, Tal- Miraj, Dist-Sangli",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
2164,08-06-2025,Aug,05:05:00,"Vashishti river at U/s of Three M Paper Mills near M/s Multifilms Plastic  Pvt. Ltd ., Village. Kherdi, Taluka. Chiplun, District. Ratnagiri.",River,Vashisthi,Vashisthi,Ratnagiri,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Others,Yes,Clear,,0.0,,6.8,7.3,130.0,2.6,0.58,6.8,26,1.8(BDL),1(BDL),5(BDL),56,5(BDL),12.0,1.5(BDL),0.4,60.6,34.8,25.8,6.01,5(BDL),102.0,92.0,12,0.2(BDL),,1(BDL),0.31,,17°31.513,73°33.057,NWMP_August2025_MPCB_0.csv,6.8,0.58,"Vashishti river at U/s of Three M Paper Mills near M/s Multifilms Plastic  Pvt. Ltd ., Village. Kherdi, Taluka. Chiplun, District. Ratnagiri.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
2713,08-06-2025,Aug,17:20:00,"Vashishti river at D/s of Three M Paper Mills near Chiplun water intake  jackwell,  Village. Kherdi, Taluka. Chiplun, District. Ratnagiri.",River,Vashisthi,Vashisthi,Ratnagiri,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Others,Yes,Clear,,0.0,,6.7,7.3,129.0,2.8,0.55,4.5,22,1.8(BDL),1(BDL),5(BDL),62,5(BDL),16.0,1.5(BDL),0.56,58.4,32.4,26.0,6.29,5(BDL),101.0,91.0,11,0.2(BDL),,1(BDL),0.25,,17° 39.567,73° 32.357,NWMP_August2025_MPCB_0.csv,6.7,0.55,"Vashishti river at D/s of Three M Paper Mills near Chiplun water intake  jackwell,  Village. Kherdi, Taluka. Chiplun, District. Ratnagiri.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
2714,08-06-2025,Aug,16:05:00,"Vashishti river at U/s of Pophali near Konphansawane bridge, Village. Pophali, Taluka. Chiplun, District. Ratnagiri.",River,Vashisthi,Vashisthi,Ratnagiri,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Others,Yes,Clear,,0.0,,6,7.6,75.0,3.0,0.3(BDL),9.3,34,1.8(BDL),1(BDL),5(BDL),44,6.9,20.0,1.5(BDL),0.4,38.6,21.8,16.8,7.01,5(BDL),64.0,58.0,11,0.2(BDL),,1(BDL),0.23,,17° 26.266,73° 39.420,NWMP_August2025_MPCB_0.csv,6.0,0.3(BDL),"Vashishti river at U/s of Pophali near Konphansawane bridge, Village. Pophali, Taluka. Chiplun, District. Ratnagiri.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
