station_name,river_name,state,district,month,predicted_compliance_label,predicted_non_compliance_probability,risk_score,risk_category,violation_reasons,label_confidence,top_5_model_drivers,rule_based_explanation,final_human_readable_explanation
"Asna River, Dist- Nanded",Asna,,Nanded,Aug,Non-Compliant,1.0,3.35,Low Risk,BOD (4.8 > 3); pH (9.0 not in 6.5-8.5),High,"['bod', 'ph', 'dissolved_oxygen', 'temperature', 'conductivity']",Non-compliant because BOD is 4.80 mg/L (above 3); pH is 9.00 (outside 6.5-8.5). Risk category: Low Risk.,"Station Asna River, Dist- Nanded is predicted Non-Compliant. Non-compliant because BOD is 4.80 mg/L (above 3); pH is 9.00 (outside 6.5-8.5). Risk category: Low Risk. Top model drivers: bod, ph, dissolved_oxygen, temperature, conductivity."
"Purna River, Yeldari dam, Dist- Parbhani",Purna,,Parbhani,Aug,Non-Compliant,1.0,0.17,Low Risk,BOD (3.2 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.,"Station Purna River, Yeldari dam, Dist- Parbhani is predicted Non-Compliant. Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Sea Water at Ganapathipule, Village. Ganapatipule, Taluka. Ratnagiri,  District. Ratnagiri.",Sea,,Ratnagiri,Aug,Non-Compliant,1.0,7.66,Low Risk,BOD (12.0 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 12.00 mg/L (above 3). Risk category: Low Risk.,"Station Sea Water at Ganapathipule, Village. Ganapatipule, Taluka. Ratnagiri,  District. Ratnagiri. is predicted Non-Compliant. Non-compliant because BOD is 12.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Sea water at Bhagwati Bunder, Ratnagiri near Ultra Tech Cement Jetty , Village. Mirkarwada, Taluka. Ratnagiri, District. Ratnagiri.",Sea,,Ratnagiri,Aug,Non-Compliant,1.0,9.36,Low Risk,BOD (14.0 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 14.00 mg/L (above 3). Risk category: Low Risk.,"Station Sea water at Bhagwati Bunder, Ratnagiri near Ultra Tech Cement Jetty , Village. Mirkarwada, Taluka. Ratnagiri, District. Ratnagiri. is predicted Non-Compliant. Non-compliant because BOD is 14.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Madvi sea water at Ratnagiri near Jodhale Maruti Temple,  Village. Madvigaon, Taluka. Ratnagiri, District. Ratnagiri.",Madvi,,Ratnagiri,Aug,Non-Compliant,1.0,8.51,Low Risk,BOD (13.0 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 13.00 mg/L (above 3). Risk category: Low Risk.,"Station Madvi sea water at Ratnagiri near Jodhale Maruti Temple,  Village. Madvigaon, Taluka. Ratnagiri, District. Ratnagiri. is predicted Non-Compliant. Non-compliant because BOD is 13.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Sea water at Gateway of India, Village. Colaba, Taluka. Colaba, District. Mumbai.",Sea,,Mumbai,Aug,Non-Compliant,1.0,15.86,Low Risk,DO (4.4 < 5); BOD (16.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 4.40 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk.,"Station Sea water at Gateway of India, Village. Colaba, Taluka. Colaba, District. Mumbai. is predicted Non-Compliant. Non-compliant because DO is 4.40 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Sea water at Charni road choupathy, Village. Girgaon, Taluka. Mumbai, District. Mumbai.",Sea,,Mumbai,Aug,Non-Compliant,1.0,14.16,Low Risk,DO (4.4 < 5); BOD (14.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 4.40 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.,"Station Sea water at Charni road choupathy, Village. Girgaon, Taluka. Mumbai, District. Mumbai. is predicted Non-Compliant. Non-compliant because DO is 4.40 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Sea water at Worli seaface, Village. Worli, Taluka. Worli, District. Mumbai.",Sea,,Mumbai,Aug,Non-Compliant,1.0,10.86,Low Risk,DO (4.6 < 5); BOD (12.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 4.60 mg/L (below 5); BOD is 12.00 mg/L (above 3). Risk category: Low Risk.,"Station Sea water at Worli seaface, Village. Worli, Taluka. Worli, District. Mumbai. is predicted Non-Compliant. Non-compliant because DO is 4.60 mg/L (below 5); BOD is 12.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Mahim creek at Mahim Bay, Village. Mahim, Taluka. Mumbai, District. Mumbai.",Mahim,,Mumbai,Aug,Non-Compliant,1.0,12.56,Low Risk,DO (4.6 < 5); BOD (14.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 4.60 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.,"Station Mahim creek at Mahim Bay, Village. Mahim, Taluka. Mumbai, District. Mumbai. is predicted Non-Compliant. Non-compliant because DO is 4.60 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Sea water at Shivaji park ( Dadar choupathy), Village. Dadar, Taluka.Dadar,  District. Mumbai.",Sea,,Mumbai,Aug,Non-Compliant,1.0,4.26,Low Risk,BOD (8.0 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 8.00 mg/L (above 3). Risk category: Low Risk.,"Station Sea water at Shivaji park ( Dadar choupathy), Village. Dadar, Taluka.Dadar,  District. Mumbai. is predicted Non-Compliant. Non-compliant because BOD is 8.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Sea water at Haji Ali, Village. Worli, Taluka. Worli, District. Mumbai.",Sea,,Mumbai,Aug,Non-Compliant,1.0,14.16,Low Risk,DO (4.4 < 5); BOD (14.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 4.40 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.,"Station Sea water at Haji Ali, Village. Worli, Taluka. Worli, District. Mumbai. is predicted Non-Compliant. Non-compliant because DO is 4.40 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Sea water at Malabar Hill, Village. Walkeshwar,Taluka. Mumbai,District. Mumbai.",Sea,,Mumbai,Aug,Non-Compliant,1.0,17.46,Low Risk,DO (4.2 < 5); BOD (16.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 4.20 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk.,"Station Sea water at Malabar Hill, Village. Walkeshwar,Taluka. Mumbai,District. Mumbai. is predicted Non-Compliant. Non-compliant because DO is 4.20 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Thane creek at Elephanta Island, Village. Elephanta Island , Taluka. Mumbai, District. Mumbai.",Thane,,Mumbai,Aug,Non-Compliant,1.0,12.46,Low Risk,DO (4.4 < 5); BOD (12.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 4.40 mg/L (below 5); BOD is 12.00 mg/L (above 3). Risk category: Low Risk.,"Station Thane creek at Elephanta Island, Village. Elephanta Island , Taluka. Mumbai, District. Mumbai. is predicted Non-Compliant. Non-compliant because DO is 4.40 mg/L (below 5); BOD is 12.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Sea water at Nariman Point, Village. Colaba, Taluka. Colaba, District. Mumbai.",Sea,,Mumbai,Aug,Non-Compliant,1.0,14.16,Low Risk,DO (4.4 < 5); BOD (14.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 4.40 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.,"Station Sea water at Nariman Point, Village. Colaba, Taluka. Colaba, District. Mumbai. is predicted Non-Compliant. Non-compliant because DO is 4.40 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Mithi river near Road bridge, Village. Mahim, Taluka. Bandra, District. Mumbai.",Mithi,,Mumbai,Aug,Non-Compliant,1.0,67.39,High Risk,DO (0.3 < 5); BOD (38.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 0.30 mg/L (below 5); BOD is 38.00 mg/L (above 3). Risk category: High Risk.,"Station Mithi river near Road bridge, Village. Mahim, Taluka. Bandra, District. Mumbai. is predicted Non-Compliant. Non-compliant because DO is 0.30 mg/L (below 5); BOD is 38.00 mg/L (above 3). Risk category: High Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Sea water at Versova beach, Village. Versova, Taluka. Andheri, District. Mumbai.",Sea,,Mumbai,Aug,Non-Compliant,1.0,10.96,Low Risk,DO (4.8 < 5); BOD (14.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 4.80 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.,"Station Sea water at Versova beach, Village. Versova, Taluka. Andheri, District. Mumbai. is predicted Non-Compliant. Non-compliant because DO is 4.80 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Sea water at Juhu beach,  Village. Juhugaon, Taluka. Santacruz,  District. Mumbai.",Sea,,Mumbai,Aug,Non-Compliant,1.0,15.86,Low Risk,DO (4.4 < 5); BOD (16.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 4.40 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk.,"Station Sea water at Juhu beach,  Village. Juhugaon, Taluka. Santacruz,  District. Mumbai. is predicted Non-Compliant. Non-compliant because DO is 4.40 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Rabodi nalla, Village. Rabodi,Taluka. Thane, District. Thane.",Rabodi,,Thane,Aug,Non-Compliant,1.0,72.49,High Risk,DO (0.3 < 5); BOD (44.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 0.30 mg/L (below 5); BOD is 44.00 mg/L (above 3). Risk category: High Risk.,"Station Rabodi nalla, Village. Rabodi,Taluka. Thane, District. Thane. is predicted Non-Compliant. Non-compliant because DO is 0.30 mg/L (below 5); BOD is 44.00 mg/L (above 3). Risk category: High Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Colour chem  Nalla, Village. Majiwada,Taluka. Thane,District. Thane.",Colour Chem,,Thane,Aug,Non-Compliant,1.0,54.98,High Risk,DO (1.0 < 5); BOD (30.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 1.00 mg/L (below 5); BOD is 30.00 mg/L (above 3). Risk category: High Risk.,"Station Colour chem  Nalla, Village. Majiwada,Taluka. Thane,District. Thane. is predicted Non-Compliant. Non-compliant because DO is 1.00 mg/L (below 5); BOD is 30.00 mg/L (above 3). Risk category: High Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Sandoz nalla, Village. Sandozbaug,Taluka. Thane,District. Thane.",Sandoz,,Thane,Aug,Non-Compliant,1.0,60.03,High Risk,DO (0.9 < 5); BOD (35.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 0.90 mg/L (below 5); BOD is 35.00 mg/L (above 3). Risk category: High Risk.,"Station Sandoz nalla, Village. Sandozbaug,Taluka. Thane,District. Thane. is predicted Non-Compliant. Non-compliant because DO is 0.90 mg/L (below 5); BOD is 35.00 mg/L (above 3). Risk category: High Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Ulhas creek at Mumbra Reti bunder, Village. Mumbra,Taluka. Thane, District. Thane.",Ulhas,,Thane,Aug,Non-Compliant,1.0,1.36,Low Risk,BOD (4.6 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 4.60 mg/L (above 3). Risk category: Low Risk.,"Station Ulhas creek at Mumbra Reti bunder, Village. Mumbra,Taluka. Thane, District. Thane. is predicted Non-Compliant. Non-compliant because BOD is 4.60 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Thane creek at Kalwa road bridge, Village. Kalwa,Taluka. Thane,District. Thane.",Thane,,Thane,Aug,Non-Compliant,1.0,4.6,Low Risk,BOD (8.4 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 8.40 mg/L (above 3). Risk category: Low Risk.,"Station Thane creek at Kalwa road bridge, Village. Kalwa,Taluka. Thane,District. Thane. is predicted Non-Compliant. Non-compliant because BOD is 8.40 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Ulhas creek at Kolshet Reti bunder, Village. Kolshet, Taluka. Thane, District. Thane.",Ulhas,,Thane,Aug,Non-Compliant,1.0,1.19,Low Risk,BOD (4.4 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 4.40 mg/L (above 3). Risk category: Low Risk.,"Station Ulhas creek at Kolshet Reti bunder, Village. Kolshet, Taluka. Thane, District. Thane. is predicted Non-Compliant. Non-compliant because BOD is 4.40 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Ulhas creek at Gaimukh at Nagla Bunder on Ghod bunder road, Village. Nagla,Taluka. Thane,District. Thane.",Ulhas,,Thane,Aug,Non-Compliant,1.0,3.74,Low Risk,BOD (7.4 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 7.40 mg/L (above 3). Risk category: Low Risk.,"Station Ulhas creek at Gaimukh at Nagla Bunder on Ghod bunder road, Village. Nagla,Taluka. Thane,District. Thane. is predicted Non-Compliant. Non-compliant because BOD is 7.40 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Bassein creek at VasaiFort , Village. Bassein, Taluka. Vasai, District. Thane.",Bassein,,Thane,Aug,Non-Compliant,1.0,14.16,Low Risk,DO (4.4 < 5); BOD (14.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 4.40 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.,"Station Bassein creek at VasaiFort , Village. Bassein, Taluka. Vasai, District. Thane. is predicted Non-Compliant. Non-compliant because DO is 4.40 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Ulhas creek at Versova bridge, Village. Versova, Taluka. Vasai, District. Thane.",Ulhas,,Thane,Aug,Non-Compliant,1.0,4.26,Low Risk,BOD (8.0 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 8.00 mg/L (above 3). Risk category: Low Risk.,"Station Ulhas creek at Versova bridge, Village. Versova, Taluka. Vasai, District. Thane. is predicted Non-Compliant. Non-compliant because BOD is 8.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Bhayander creek at D/s of Railway bridge at  Jasal park choupathy, Village. Navghar, Taluka. Bhayander, District. Thane.",Bhayander,,Thane,Aug,Non-Compliant,1.0,12.56,Low Risk,DO (4.6 < 5); BOD (14.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 4.60 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.,"Station Bhayander creek at D/s of Railway bridge at  Jasal park choupathy, Village. Navghar, Taluka. Bhayander, District. Thane. is predicted Non-Compliant. Non-compliant because DO is 4.60 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Arnala sea, Village. Arnala, Taluka. Vasai, District. Thane.",Arnala,,Thane,Aug,Non-Compliant,1.0,9.26,Low Risk,DO (4.8 < 5); BOD (12.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 4.80 mg/L (below 5); BOD is 12.00 mg/L (above 3). Risk category: Low Risk.,"Station Arnala sea, Village. Arnala, Taluka. Vasai, District. Thane. is predicted Non-Compliant. Non-compliant because DO is 4.80 mg/L (below 5); BOD is 12.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Uttan sea at Bhayander, Village. Uttan, Taluka. Bhayander, District. Thane.",Uttan,,Thane,Aug,Non-Compliant,1.0,15.86,Low Risk,DO (4.4 < 5); BOD (16.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 4.40 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk.,"Station Uttan sea at Bhayander, Village. Uttan, Taluka. Bhayander, District. Thane. is predicted Non-Compliant. Non-compliant because DO is 4.40 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Kharekuran Murbe creek , Village. Kharekuran, Taluka. Palghar, District. Thane.",Kharekuran Murbe,,Thane,Aug,Non-Compliant,1.0,21.57,Low Risk,DO (3.9 < 5); BOD (18.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 3.90 mg/L (below 5); BOD is 18.00 mg/L (above 3). Risk category: Low Risk.,"Station Kharekuran Murbe creek , Village. Kharekuran, Taluka. Palghar, District. Thane. is predicted Non-Compliant. Non-compliant because DO is 3.90 mg/L (below 5); BOD is 18.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Dandi Creek, Village. Dandi, Taluka. Palghar, District. Thane.",Dandi,,Thane,Aug,Non-Compliant,1.0,19.06,Low Risk,DO (4.0 < 5); BOD (16.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 4.00 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk.,"Station Dandi Creek, Village. Dandi, Taluka. Palghar, District. Thane. is predicted Non-Compliant. Non-compliant because DO is 4.00 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Navapur sea, Village. Navapur, Taluka. Palghar, District. Thane.",Navapur,,Thane,Aug,Non-Compliant,1.0,15.86,Low Risk,DO (4.4 < 5); BOD (16.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 4.40 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk.,"Station Navapur sea, Village. Navapur, Taluka. Palghar, District. Thane. is predicted Non-Compliant. Non-compliant because DO is 4.40 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
