station_name,river_name,state,district,month,predicted_compliance_label,predicted_non_compliance_probability,risk_score,risk_category,violation_reasons,label_confidence,top_5_model_drivers,rule_based_explanation,final_human_readable_explanation
"Ulhas creek at Reti bunder at D/s of Kalyan. Bhiwandi bridge, Village. Kalyan, Taluka. Kalyan, District. Thane.",Ulhas,,Thane,Aug,Non-Compliant,1.0,0.68,Low Risk,BOD (3.8 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk.,"Station Ulhas creek at Reti bunder at D/s of Kalyan. Bhiwandi bridge, Village. Kalyan, Taluka. Kalyan, District. Thane. is predicted Non-Compliant. Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Pehlar Dam on Pehlar river. inlet of water works, Village. Pehlar, Taluka. Vasai, District. Thane.",Pehlar,,Thane,Jul,Compliant,0.0,0.0,Low Risk,,High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.,"Station Pehlar Dam on Pehlar river. inlet of water works, Village. Pehlar, Taluka. Vasai, District. Thane. is predicted Compliant. Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Wainganga river at kardha bridge, D/S of bhandara city, Dist- Bhandara",Wainganga,,Bhandara,Jul,Non-Compliant,1.0,1.7,Low Risk,BOD (5.0 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 5.00 mg/L (above 3). Risk category: Low Risk.,"Station Wainganga river at kardha bridge, D/S of bhandara city, Dist- Bhandara is predicted Non-Compliant. Non-compliant because BOD is 5.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Nalla at D/s of Aklai Mandir, Village. Aklai, Taluka. Malshiras, District. Solapur.",Nala,,Solapur,Aug,Non-Compliant,1.0,2.04,Low Risk,BOD (5.4 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 5.40 mg/L (above 3). Risk category: Low Risk.,"Station Nalla at D/s of Aklai Mandir, Village. Aklai, Taluka. Malshiras, District. Solapur. is predicted Non-Compliant. Non-compliant because BOD is 5.40 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Nira river at Shindewadi,  Village. Shirval, Taluka. Khandala, District. Satara.",Nira,,Satara,Aug,Non-Compliant,1.0,1.87,Low Risk,BOD (5.2 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 5.20 mg/L (above 3). Risk category: Low Risk.,"Station Nira river at Shindewadi,  Village. Shirval, Taluka. Khandala, District. Satara. is predicted Non-Compliant. Non-compliant because BOD is 5.20 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Ulhas creek at Versova bridge, Village. Versova, Taluka. Vasai, District. Thane.",Ulhas,,Thane,Aug,Non-Compliant,1.0,4.26,Low Risk,BOD (8.0 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 8.00 mg/L (above 3). Risk category: Low Risk.,"Station Ulhas creek at Versova bridge, Village. Versova, Taluka. Vasai, District. Thane. is predicted Non-Compliant. Non-compliant because BOD is 8.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Rabodi nalla, Village. Rabodi,Taluka. Thane, District. Thane.",Rabodi,,Thane,Aug,Non-Compliant,1.0,72.49,High Risk,DO (0.3 < 5); BOD (44.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 0.30 mg/L (below 5); BOD is 44.00 mg/L (above 3). Risk category: High Risk.,"Station Rabodi nalla, Village. Rabodi,Taluka. Thane, District. Thane. is predicted Non-Compliant. Non-compliant because DO is 0.30 mg/L (below 5); BOD is 44.00 mg/L (above 3). Risk category: High Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Panchaganga river at Ichalkaranji near MIDC  intake well. Village. Shiradhwad  (Ichalkaranji ghat), Taluka.Hatkanangale, District. Kolhapur.",Panchaganga,,Kolhapur,Sep,Compliant,0.0,0.0,Low Risk,,High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.,"Station Panchaganga river at Ichalkaranji near MIDC  intake well. Village. Shiradhwad  (Ichalkaranji ghat), Taluka.Hatkanangale, District. Kolhapur. is predicted Compliant. Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Venna river at Mahuli, Village. Mahuli, Taluka. Mahuli, District. Satara.",Venna,,Satara,Aug,Non-Compliant,1.0,0.51,Low Risk,BOD (3.6 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 3.60 mg/L (above 3). Risk category: Low Risk.,"Station Venna river at Mahuli, Village. Mahuli, Taluka. Mahuli, District. Satara. is predicted Non-Compliant. Non-compliant because BOD is 3.60 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Darna river at Aswali ( Darna Dam),Village. Aswali,Taluka. Igatpuri,District. Nashik.",Darna,,Nashik,Aug,Non-Compliant,1.0,0.17,Low Risk,BOD (3.2 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.,"Station Darna river at Aswali ( Darna Dam),Village. Aswali,Taluka. Igatpuri,District. Nashik. is predicted Non-Compliant. Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Purna river at Kolhapur Tal- Daryapur, Dist- Amravati",Purna,,Amravati,Aug,Non-Compliant,1.0,0.68,Low Risk,BOD (3.8 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk.,"Station Purna river at Kolhapur Tal- Daryapur, Dist- Amravati is predicted Non-Compliant. Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Ulhas creek at Versova bridge, Village. Versova, Taluka. Vasai, District. Thane.",Ulhas,,Thane,Sep,Non-Compliant,1.0,2.55,Low Risk,BOD (6.0 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 6.00 mg/L (above 3). Risk category: Low Risk.,"Station Ulhas creek at Versova bridge, Village. Versova, Taluka. Vasai, District. Thane. is predicted Non-Compliant. Non-compliant because BOD is 6.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Krishna river at Dhom Dam, Village. Wai, Taluka.Mahabaleshwar, District.Satara.",Krishna,,Satara,Jul,Compliant,0.0,0.0,Low Risk,,High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.,"Station Krishna river at Dhom Dam, Village. Wai, Taluka.Mahabaleshwar, District.Satara. is predicted Compliant. Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Karambavane creek at Chiplun, Village. Karambavane, Taluka. Chiplun, District. Ratnagiri.",Karambavane,,Ratnagiri,Sep,Compliant,0.0,0.0,Low Risk,,High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.,"Station Karambavane creek at Chiplun, Village. Karambavane, Taluka. Chiplun, District. Ratnagiri. is predicted Compliant. Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Patalganga river at Shilphata bridge, Village.Khopoli,Taluka. Khalapur, District. Raigad.",Patalganga,,Raigad,Sep,Non-Compliant,1.0,0.17,Low Risk,BOD (3.2 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.,"Station Patalganga river at Shilphata bridge, Village.Khopoli,Taluka. Khalapur, District. Raigad. is predicted Non-Compliant. Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Ghod river at Shirur, Village. Shirur,Taluka. Shirur,District. Pune.",Ghod,,Pune,Sep,Non-Compliant,1.0,0.85,Low Risk,BOD (4.0 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 4.00 mg/L (above 3). Risk category: Low Risk.,"Station Ghod river at Shirur, Village. Shirur,Taluka. Shirur,District. Pune. is predicted Non-Compliant. Non-compliant because BOD is 4.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Purna River at Dhupeshwar at u/s of Malkapur water works, Malkapur, Dist.Akola",Purna,,Akola,Jul,Non-Compliant,1.0,3.4,Low Risk,BOD (7.0 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 7.00 mg/L (above 3). Risk category: Low Risk.,"Station Purna River at Dhupeshwar at u/s of Malkapur water works, Malkapur, Dist.Akola is predicted Non-Compliant. Non-compliant because BOD is 7.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Kolar river before confluence with Kanhan river at Waregaon Bridge, Village. Waregaon, Taluka.Kamptee, District.Nagpur.",Kolar,,Nagpur,Jul,Non-Compliant,1.0,2.13,Low Risk,BOD (5.5 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 5.50 mg/L (above 3). Risk category: Low Risk.,"Station Kolar river before confluence with Kanhan river at Waregaon Bridge, Village. Waregaon, Taluka.Kamptee, District.Nagpur. is predicted Non-Compliant. Non-compliant because BOD is 5.50 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Kalu river at Atale village, Village. Atale, Taluka. Kalyan, District. Thane.",Kalu,,Thane,Jul,Non-Compliant,1.0,0.34,Low Risk,BOD (3.4 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 3.40 mg/L (above 3). Risk category: Low Risk.,"Station Kalu river at Atale village, Village. Atale, Taluka. Kalyan, District. Thane. is predicted Non-Compliant. Non-compliant because BOD is 3.40 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Surya river at MIDC pumping station on Boisar . Chillarphata road, Village. Garvashet, Taluka. Palghar, District. Thane",Surya,,Thane,Aug,Non-Compliant,1.0,0.17,Low Risk,BOD (3.2 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.,"Station Surya river at MIDC pumping station on Boisar . Chillarphata road, Village. Garvashet, Taluka. Palghar, District. Thane is predicted Non-Compliant. Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Tarapur MIDC Nalla ( Near Sump 3), Village. MIDC  Tarapur, Taluka. Palghar, District. Thane.",Tarapur Midc,,Thane,Jul,Non-Compliant,1.0,77.6,Severe Risk,DO (0.3 < 5); BOD (55.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 0.30 mg/L (below 5); BOD is 55.00 mg/L (above 3). Risk category: Severe Risk.,"Station Tarapur MIDC Nalla ( Near Sump 3), Village. MIDC  Tarapur, Taluka. Palghar, District. Thane. is predicted Non-Compliant. Non-compliant because DO is 0.30 mg/L (below 5); BOD is 55.00 mg/L (above 3). Risk category: Severe Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Amba river at D/s of Waken bridge, Village. Waken phata, Taluka. Roha, District. Raigad. ( u/s of the jackwells of M/s Supreme Petrochemicals & MIDC )",Amba,,Raigad,Sep,Non-Compliant,1.0,0.68,Low Risk,BOD (3.8 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk.,"Station Amba river at D/s of Waken bridge, Village. Waken phata, Taluka. Roha, District. Raigad. ( u/s of the jackwells of M/s Supreme Petrochemicals & MIDC ) is predicted Non-Compliant. Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Krishna River at krishna ghat, miraj Dist-Sangli",Krishna,,Sangli,Sep,Compliant,0.0,0.0,Low Risk,,High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.,"Station Krishna River at krishna ghat, miraj Dist-Sangli is predicted Compliant. Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Wardha river at D/s of ACC Ltd. Ghuggus near WCL pump house, Village. Ghuggus, Taluka. Chandrapur, District. Chandrapur.",Wardha,,Chandrapur,Aug,Non-Compliant,1.0,0.68,Low Risk,BOD (3.8 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk.,"Station Wardha river at D/s of ACC Ltd. Ghuggus near WCL pump house, Village. Ghuggus, Taluka. Chandrapur, District. Chandrapur. is predicted Non-Compliant. Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Wainganga river at U/s of Gaurav Paper Mills, near jackwell,  Village. Bramhpuri, Taluka. Chandrapur, District. Chandrapur.",Wainganga,,Chandrapur,Aug,Non-Compliant,1.0,1.28,Low Risk,BOD (4.5 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 4.50 mg/L (above 3). Risk category: Low Risk.,"Station Wainganga river at U/s of Gaurav Paper Mills, near jackwell,  Village. Bramhpuri, Taluka. Chandrapur, District. Chandrapur. is predicted Non-Compliant. Non-compliant because BOD is 4.50 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Kundalika river at Roha bridge,  Village.Roha, Taluka. Roha, District. Raigad.",Kundalika,,Raigad,Aug,Compliant,0.0,0.0,Low Risk,,High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.,"Station Kundalika river at Roha bridge,  Village.Roha, Taluka. Roha, District. Raigad. is predicted Compliant. Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Tarapur MIDC Nalla ( near Sump 1), Village. MIDC Tarapur, Taluka. Palghar, District. Thane.",Tarapur Midc,,Thane,Aug,Non-Compliant,1.0,77.6,Severe Risk,DO (0.3 < 5); BOD (58.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 0.30 mg/L (below 5); BOD is 58.00 mg/L (above 3). Risk category: Severe Risk.,"Station Tarapur MIDC Nalla ( near Sump 1), Village. MIDC Tarapur, Taluka. Palghar, District. Thane. is predicted Non-Compliant. Non-compliant because DO is 0.30 mg/L (below 5); BOD is 58.00 mg/L (above 3). Risk category: Severe Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Ujani dam pumping station, Dist- Solapur ",Ujani,,Solapur,Jul,Non-Compliant,1.0,0.53,Low Risk,BOD (3.2 > 3); pH (8.6 not in 6.5-8.5),High,"['bod', 'ph', 'dissolved_oxygen', 'temperature', 'conductivity']",Non-compliant because BOD is 3.20 mg/L (above 3); pH is 8.60 (outside 6.5-8.5). Risk category: Low Risk.,"Station Ujani dam pumping station, Dist- Solapur  is predicted Non-Compliant. Non-compliant because BOD is 3.20 mg/L (above 3); pH is 8.60 (outside 6.5-8.5). Risk category: Low Risk. Top model drivers: bod, ph, dissolved_oxygen, temperature, conductivity."
"Asna River, Dist- Nanded",Asna,,Nanded,Aug,Non-Compliant,1.0,3.35,Low Risk,BOD (4.8 > 3); pH (9.0 not in 6.5-8.5),High,"['bod', 'ph', 'dissolved_oxygen', 'temperature', 'conductivity']",Non-compliant because BOD is 4.80 mg/L (above 3); pH is 9.00 (outside 6.5-8.5). Risk category: Low Risk.,"Station Asna River, Dist- Nanded is predicted Non-Compliant. Non-compliant because BOD is 4.80 mg/L (above 3); pH is 9.00 (outside 6.5-8.5). Risk category: Low Risk. Top model drivers: bod, ph, dissolved_oxygen, temperature, conductivity."
"Nira river at Sangavi, Village. Sangavi, Taluka. Phaltan, District. Satara.",Nira,,Satara,Sep,Non-Compliant,1.0,1.87,Low Risk,BOD (5.2 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 5.20 mg/L (above 3). Risk category: Low Risk.,"Station Nira river at Sangavi, Village. Sangavi, Taluka. Phaltan, District. Satara. is predicted Non-Compliant. Non-compliant because BOD is 5.20 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Wainganga river at U/s of Ellora Paper Mills, Village. Tumsar, Taluka. Tumsar, District. Bhandara.",Wainganga,,Bhandara,Sep,Non-Compliant,1.0,2.04,Low Risk,BOD (5.4 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 5.40 mg/L (above 3). Risk category: Low Risk.,"Station Wainganga river at U/s of Ellora Paper Mills, Village. Tumsar, Taluka. Tumsar, District. Bhandara. is predicted Non-Compliant. Non-compliant because BOD is 5.40 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Patalganga river at Vyal Pump house,  Village. Vyal,  Taluka. Khalapur, District. Raigad.",Patalganga,,Raigad,Jul,Compliant,0.0,0.0,Low Risk,,High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.,"Station Patalganga river at Vyal Pump house,  Village. Vyal,  Taluka. Khalapur, District. Raigad. is predicted Compliant. Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Sea Water at Ganapathipule, Village. Ganapatipule, Taluka. Ratnagiri,  District. Ratnagiri.",Sea,,Ratnagiri,Aug,Non-Compliant,1.0,7.66,Low Risk,BOD (12.0 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 12.00 mg/L (above 3). Risk category: Low Risk.,"Station Sea Water at Ganapathipule, Village. Ganapatipule, Taluka. Ratnagiri,  District. Ratnagiri. is predicted Non-Compliant. Non-compliant because BOD is 12.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Ghod river at Shirur, Village. Shirur,Taluka. Shirur,District. Pune.",Ghod,,Pune,Aug,Non-Compliant,1.0,0.51,Low Risk,BOD (3.6 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 3.60 mg/L (above 3). Risk category: Low Risk.,"Station Ghod river at Shirur, Village. Shirur,Taluka. Shirur,District. Pune. is predicted Non-Compliant. Non-compliant because BOD is 3.60 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Tansa river near road bridge, Village. Dakewali, Taluka. Wada, District. Thane.",Tansa,,Thane,Sep,Compliant,0.0,0.0,Low Risk,,High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.,"Station Tansa river near road bridge, Village. Dakewali, Taluka. Wada, District. Thane. is predicted Compliant. Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
